,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Haven,20.7%,51.4%,48.6%,"51,325"
1,2,Icebox,17.0%,50.7%,49.3%,"42,213"
2,3,Bind,21.0%,48.7%,51.3%,"52,103"
3,4,Split,20.3%,48.5%,51.5%,"50,479"
4,5,Ascent,21.0%,48.1%,51.9%,"52,152"
