,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Haven,20.4%,51.1%,48.9%,"1,010,667"
1,2,Icebox,18.3%,50.8%,49.2%,"906,219"
2,3,Ascent,20.6%,48.4%,51.6%,"1,018,215"
3,4,Split,20.0%,48.3%,51.7%,"988,125"
4,5,Bind,20.6%,48.1%,51.9%,"1,020,765"
