,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Pearl,14.1%,53.1%,46.9%,"133,212"
1,2,Fracture,14.1%,51.9%,48.1%,"133,110"
2,3,Breeze,14.3%,51.9%,48.1%,"134,793"
3,4,Haven,14.3%,51.0%,49.0%,"135,252"
4,5,Bind,14.5%,49.7%,50.3%,"136,680"
5,6,Ascent,14.8%,48.6%,51.4%,"139,230"
