,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Breeze,13.3%,51.2%,48.8%,"1,402,143"
1,2,Icebox,14.9%,51.2%,48.8%,"1,574,676"
2,3,Haven,15.1%,51.1%,48.9%,"1,593,903"
3,4,Fracture,11.1%,50.8%,49.2%,"1,172,592"
4,5,Bind,15.1%,48.2%,51.8%,"1,594,107"
5,6,Split,15.1%,48.2%,51.8%,"1,592,985"
6,7,Ascent,15.4%,48.1%,51.9%,"1,624,503"
