,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Breeze,9.4%,51.9%,48.1%,"599,658"
1,2,Icebox,17.5%,51.3%,48.7%,"1,114,656"
2,3,Haven,18.1%,50.7%,49.3%,"1,152,396"
3,4,Bind,18.4%,48.7%,51.3%,"1,170,807"
4,5,Split,18.2%,48.4%,51.6%,"1,160,913"
5,6,Ascent,18.5%,48.2%,51.8%,"1,176,825"
