,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Breeze,13.3%,51.1%,48.9%,"805,239"
1,2,Haven,15.1%,51.1%,48.9%,"910,044"
2,3,Icebox,14.8%,51.1%,48.9%,"895,560"
3,4,Fracture,11.4%,50.0%,"686,307",
4,5,Split,14.9%,47.9%,52.1%,"899,997"
5,6,Ascent,15.3%,47.7%,52.3%,"924,273"
6,7,Bind,15.3%,47.6%,52.4%,"922,233"
