,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Icebox,14.8%,51.1%,48.9%,"716,550"
1,2,Breeze,13.5%,51.1%,48.9%,"651,882"
2,3,Haven,15.0%,50.9%,49.1%,"724,914"
3,4,Fracture,11.6%,49.8%,50.2%,"563,295"
4,5,Split,14.8%,47.9%,52.1%,"717,417"
5,6,Ascent,15.1%,47.5%,52.5%,"729,708"
6,7,Bind,15.2%,47.5%,52.5%,"738,684"
