,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Pearl,14.3%,52.4%,47.6%,"1,268,013"
1,2,Fracture,14.1%,52.0%,48.0%,"1,256,079"
2,3,Breeze,14.2%,51.3%,48.7%,"1,258,884"
3,4,Haven,14.4%,51.2%,48.8%,"1,284,843"
4,5,Bind,14.2%,49.1%,50.9%,"1,264,851"
5,6,Ascent,14.5%,48.2%,51.8%,"1,289,382"
