,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Breeze,13.6%,51.4%,48.6%,"178,653"
1,2,Haven,15.5%,51.2%,48.8%,"203,286"
2,3,Icebox,15.6%,50.8%,49.2%,"204,612"
3,4,Fracture,7.7%,50.7%,49.3%,"100,368"
4,5,Ascent,16.2%,47.9%,52.1%,"212,772"
5,6,Bind,16.0%,47.8%,52.2%,"209,661"
6,7,Split,15.2%,47.1%,52.9%,"199,665"
