,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Icebox,14.6%,51.8%,48.2%,"885,768"
1,2,Breeze,13.8%,51.8%,48.2%,"837,063"
2,3,Fracture,11.7%,51.5%,48.5%,"706,962"
3,4,Haven,14.9%,51.3%,48.7%,"905,505"
4,5,Bind,14.9%,49.0%,51.0%,"901,476"
5,6,Split,15.1%,48.9%,51.1%,"911,880"
6,7,Ascent,15.0%,48.4%,51.6%,"906,729"
