,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Haven,15.1%,50.7%,49.3%,"12,750"
1,2,Breeze,13.8%,50.5%,49.5%,"11,628"
2,3,Icebox,15.0%,49.0%,51.0%,"12,648"
3,4,Bind,15.5%,46.6%,53.4%,"13,107"
4,5,Fracture,12.1%,45.9%,54.1%,"10,251"
5,6,Split,15.0%,45.6%,54.4%,"12,699"
6,7,Ascent,13.5%,44.6%,55.4%,"11,424"
