,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Pearl,11.8%,50.4%,49.6%,"7,701"
1,2,Haven,15.9%,49.6%,50.4%,"10,353"
2,3,Ascent,15.4%,48.8%,51.2%,"10,047"
3,4,Icebox,14.7%,48.7%,51.3%,"9,588"
4,5,Breeze,14.9%,47.3%,52.7%,"9,690"
5,6,Fracture,14.3%,46.5%,53.5%,"9,333"
6,7,Bind,13.0%,46.1%,53.9%,"8,466"
