,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Icebox,16.2%,51.1%,48.9%,"143,208"
1,2,Breeze,13.2%,50.8%,49.2%,"117,147"
2,3,Haven,18.0%,50.7%,49.3%,"159,018"
3,4,Split,17.0%,47.7%,52.3%,"150,501"
4,5,Bind,17.6%,47.2%,52.8%,"155,652"
5,6,Ascent,18.0%,46.8%,53.2%,"159,324"
