,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Pearl,14.1%,52.1%,47.9%,"1,297,491"
1,2,Fracture,14.2%,51.1%,48.9%,"1,310,343"
2,3,Breeze,14.1%,51.0%,49.0%,"1,300,551"
3,4,Haven,14.5%,51.0%,49.0%,"1,332,936"
4,5,Bind,14.3%,48.4%,51.6%,"1,320,900"
5,6,Ascent,14.4%,48.1%,51.9%,"1,328,958"
