,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Pearl,9.9%,53.3%,46.7%,"681,564"
1,2,Icebox,15.0%,51.5%,48.5%,"1,031,016"
2,3,Fracture,14.9%,51.3%,48.7%,"1,022,856"
3,4,Breeze,14.9%,51.1%,48.9%,"1,025,406"
4,5,Haven,14.9%,51.0%,49.0%,"1,023,519"
5,6,Bind,15.1%,49.2%,50.8%,"1,036,932"
6,7,Ascent,15.2%,48.3%,51.7%,"1,043,970"
