,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Icebox,13.9%,51.8%,48.2%,"182,886"
1,2,Breeze,14.6%,51.6%,48.4%,"191,454"
2,3,Fracture,13.9%,51.3%,48.7%,"182,580"
3,4,Haven,14.4%,51.2%,48.8%,"189,261"
4,5,Bind,14.3%,49.4%,50.6%,"187,629"
5,6,Split,14.2%,49.4%,50.6%,"187,068"
6,7,Ascent,14.7%,49.0%,51.0%,"193,188"
