,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Haven,14.6%,50.4%,49.6%,"310,029"
1,2,Icebox,14.4%,50.1%,49.9%,"304,878"
2,3,Breeze,13.8%,50.0%,"292,332",
3,4,Fracture,14.1%,47.9%,52.1%,"299,268"
4,5,Split,14.3%,47.6%,52.4%,"302,787"
5,6,Ascent,14.5%,47.5%,52.5%,"308,397"
6,7,Bind,14.4%,47.0%,53.0%,"306,510"
