,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Haven,20.4%,51.0%,49.0%,"179,163"
1,2,Icebox,17.9%,49.7%,50.3%,"156,825"
2,3,Split,20.4%,47.7%,52.3%,"178,959"
3,4,Ascent,20.6%,47.4%,52.6%,"180,489"
4,5,Bind,20.6%,47.2%,52.8%,"180,795"
