,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Breeze,13.1%,51.4%,48.6%,"539,835"
1,2,Fracture,7.2%,51.3%,48.7%,"298,197"
2,3,Haven,16.0%,51.3%,48.7%,"660,093"
3,4,Icebox,15.7%,51.1%,48.9%,"647,547"
4,5,Ascent,16.1%,48.3%,51.7%,"663,969"
5,6,Split,15.6%,48.2%,51.8%,"640,305"
6,7,Bind,16.1%,47.8%,52.2%,"662,439"
