,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Icebox,19.1%,51.2%,48.8%,"4,378"
1,2,Split,19.8%,50.7%,49.3%,"4,545"
2,3,Haven,20.3%,50.6%,49.4%,"4,659"
3,4,Bind,20.7%,49.3%,50.7%,"4,746"
4,5,Ascent,20.1%,49.0%,51.0%,"4,597"
