,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Haven,17.6%,51.4%,48.6%,"1,178,610"
1,2,Breeze,12.6%,51.3%,48.7%,"838,644"
2,3,Icebox,16.8%,50.8%,49.2%,"1,123,479"
3,4,Ascent,17.8%,48.5%,51.5%,"1,190,493"
4,5,Split,17.3%,48.4%,51.6%,"1,158,771"
5,6,Bind,17.8%,48.1%,51.9%,"1,190,901"
