,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Pearl,11.1%,54.3%,45.7%,"22,593"
1,2,Haven,15.2%,52.9%,47.1%,"31,059"
2,3,Breeze,14.4%,52.2%,47.8%,"29,427"
3,4,Icebox,15.1%,51.7%,48.3%,"30,753"
4,5,Fracture,14.4%,50.8%,49.2%,"29,376"
5,6,Bind,14.3%,49.2%,50.8%,"29,172"
6,7,Ascent,15.4%,49.0%,51.0%,"31,314"
