,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Breeze,14.1%,51.6%,48.4%,"631,431"
1,2,Icebox,14.3%,51.6%,48.4%,"638,673"
2,3,Fracture,14.1%,51.5%,48.5%,"633,114"
3,4,Haven,14.3%,51.2%,48.8%,"640,713"
4,5,Bind,14.5%,49.3%,50.7%,"647,802"
5,6,Split,14.2%,48.7%,51.3%,"634,236"
6,7,Ascent,14.5%,48.3%,51.7%,"649,638"
