,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Breeze,13.5%,51.5%,48.5%,"306,051"
1,2,Haven,16.0%,51.2%,48.8%,"363,222"
2,3,Fracture,7.4%,51.1%,48.9%,"167,280"
3,4,Icebox,15.6%,51.0%,49.0%,"354,399"
4,5,Ascent,16.3%,48.0%,52.0%,"369,699"
5,6,Split,15.4%,47.8%,52.2%,"350,625"
6,7,Bind,15.9%,47.7%,52.3%,"362,508"
