,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Icebox,14.4%,50.4%,49.6%,"234,396"
1,2,Haven,14.5%,50.3%,49.7%,"235,773"
2,3,Breeze,14.1%,50.0%,"228,939",
3,4,Fracture,13.7%,47.7%,52.3%,"221,544"
4,5,Ascent,14.1%,47.6%,52.4%,"229,551"
5,6,Split,14.6%,47.3%,52.7%,"236,844"
6,7,Bind,14.5%,46.7%,53.3%,"235,212"
