,Rank,Map,Play Rate,Atk Round Win %,Def Round Win %,Matches
0,1,Pearl,13.9%,51.0%,49.0%,"388,416"
1,2,Haven,14.5%,50.6%,49.4%,"405,246"
2,3,Breeze,14.3%,50.2%,49.8%,"400,707"
3,4,Icebox,14.3%,50.0%,"399,942",
4,5,Fracture,14.3%,48.1%,51.9%,"400,860"
5,6,Bind,14.3%,47.5%,52.5%,"398,718"
6,7,Ascent,14.4%,47.4%,52.6%,"402,696"
