,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Sage,0.83, 12  /  14.5  /  6.4 ,49.9%,14.2%,175,0.1%,"32,037"
1,2,Reyna,1.08, 16.2  /  14.9  /  4.4 ,50.6%,11.2%,235,0.1%,"25,242"
2,3,Jett,1.01, 15.4  /  15.2  /  3.9 ,48.9%,7.0%,223,0.1%,"15,849"
3,4,Viper,0.91, 13.1  /  14.5  /  5.2 ,49.7%,6.8%,190,0.1%,"15,402"
4,5,Raze,0.95, 14.5  /  15.2  /  4.5 ,48.7%,6.6%,216,0.1%,"14,924"
5,6,Omen,0.93, 13.9  /  15  /  4.7 ,47.5%,6.4%,201,0.1%,"14,472"
6,7,Sova,0.89, 12.9  /  14.5  /  5 ,50.1%,6.4%,189,0.1%,"14,373"
7,8,Killjoy,0.92, 12.9  /  14  /  4.1 ,50.5%,6.3%,190,0.2%,"14,214"
8,9,Fade,0.85, 12.7  /  14.9  /  6.1 ,48.0%,4.5%,185,0.1%,"10,035"
9,10,Skye,0.85, 12.5  /  14.8  /  6.9 ,49.5%,3.9%,184,0.1%,"8,776"
10,11,Phoenix,1, 14.9  /  14.9  /  4.3 ,47.9%,3.9%,216,0.1%,"8,712"
11,12,KAY/O,0.84, 12.6  /  15.1  /  7.9 ,46.1%,3.8%,189,0.1%,"8,574"
12,13,Neon,0.93, 14.5  /  15.6  /  4.2 ,48.8%,3.7%,212,0.1%,"8,299"
13,14,Yoru,0.91, 13.7  /  15.1  /  4 ,47.1%,3.6%,198,0.1%,"8,116"
14,15,Brimstone,0.9, 13.1  /  14.6  /  5.8 ,49.9%,3.3%,193,0.1%,"7,469"
15,16,Chamber,0.99, 14.4  /  14.5  /  3.4 ,47.2%,2.7%,204,0.1%,"6,031"
16,17,Cypher,0.91, 12.9  /  14.2  /  4.7 ,50.1%,2.3%,185,0.2%,"5,144"
17,18,Breach,0.88, 13.3  /  15.1  /  5.5 ,48.8%,1.5%,193,0.1%,"3,438"
18,19,Harbor,0.83, 12.5  /  15.1  /  5.3 ,47.2%,1.3%,181,0.1%,"2,947"
19,20,Astra,0.94, 13.7  /  14.6  /  4.6 ,49.6%,0.6%,192,0.2%,"1,404"
