,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Reyna,1.17, 18  /  15.3  /  4.5 ,50.3%,11.7%,252,0.2%,"479,994"
1,2,Sage,0.93, 13.6  /  14.7  /  7.3 ,50.7%,10.3%,192,0.1%,"420,186"
2,3,Omen,1.01, 15.1  /  15  /  6.6 ,49.2%,9.3%,211,0.1%,"382,314"
3,4,Jett,1.1, 17.3  /  15.7  /  3.9 ,49.2%,8.8%,243,0.2%,"360,480"
4,5,Raze,1.07, 16.7  /  15.7  /  5 ,50.2%,8.2%,244,0.2%,"334,696"
5,6,Skye,0.94, 14  /  14.8  /  7.7 ,49.5%,6.6%,198,0.1%,"268,441"
6,7,Deadlock,1, 15  /  14.9  /  4 ,49.0%,5.2%,215,0.1%,"211,668"
7,8,Killjoy,1.01, 14.4  /  14.3  /  3.9 ,50.1%,4.9%,204,0.1%,"200,024"
8,9,Brimstone,0.97, 14.5  /  14.9  /  8.2 ,49.9%,4.8%,209,0.1%,"198,040"
9,10,Cypher,1.02, 14.7  /  14.4  /  4.9 ,49.1%,4.3%,203,0.1%,"177,280"
10,11,Phoenix,1.11, 16.9  /  15.2  /  4.7 ,49.9%,3.3%,241,0.2%,"133,176"
11,12,Gekko,0.94, 14.1  /  15  /  4.7 ,49.3%,2.9%,195,0.1%,"119,180"
12,13,Chamber,1.08, 16.1  /  14.9  /  3.2 ,48.1%,2.6%,220,0.2%,"105,487"
13,14,Breach,0.95, 14.6  /  15.3  /  6.2 ,48.2%,2.5%,205,0.1%,"102,636"
14,15,Viper,1, 14.6  /  14.6  /  5.4 ,48.7%,2.4%,206,0.1%,"99,109"
15,16,Sova,0.98, 14.4  /  14.7  /  5.3 ,48.1%,2.2%,205,0.1%,"91,401"
16,17,KAY/O,0.91, 14  /  15.4  /  8.2 ,45.4%,2.2%,203,0.1%,"90,967"
17,18,Fade,0.94, 14.1  /  15  /  6 ,48.5%,2.1%,198,0.1%,"86,749"
18,19,Astra,1.05, 15.3  /  14.5  /  6.1 ,49.3%,2.0%,211,0.1%,"81,541"
19,20,Neon,1, 16  /  16  /  4.2 ,47.9%,1.6%,228,0.2%,"66,780"
20,21,Yoru,1.02, 15.7  /  15.4  /  4.4 ,46.9%,1.6%,221,0.2%,"64,593"
21,22,Harbor,0.92, 13.9  /  15.2  /  5.6 ,44.3%,0.5%,195,0.1%,"21,375"
