,Rank,Agent,KD,KDA,Win %,Pick %,Avg. Score,First Blood %,Matches
0,1,Jett,1.08, 17.2  /  15.9  /  3.6 ,49.7%,16.1%,238,0.2%,"410,397"
1,2,Reyna,1.09, 17.1  /  15.8  /  4 ,50.4%,13.6%,237,0.2%,"346,545"
2,3,Sage,0.96, 14.1  /  14.7  /  5.1 ,51.5%,13.5%,192,0.1%,"344,301"
3,4,Omen,0.96, 14.6  /  15.2  /  6 ,48.7%,9.2%,196,0.1%,"233,937"
4,5,Sova,0.97, 14.1  /  14.6  /  6.4 ,51.4%,8.7%,199,0.1%,"222,309"
5,6,Raze,1.02, 16.2  /  15.9  /  4.9 ,49.8%,6.3%,236,0.2%,"160,752"
6,7,Killjoy,0.99, 14.3  /  14.4  /  3.8 ,52.3%,5.5%,199,0.1%,"139,842"
7,8,Skye,0.95, 14.6  /  15.4  /  4.6 ,49.3%,5.4%,198,0.1%,"136,527"
8,9,Viper,0.98, 14.3  /  14.5  /  5.4 ,50.2%,5.3%,197,0.1%,"134,895"
9,10,Cypher,0.97, 14.3  /  14.7  /  4 ,47.3%,4.6%,193,0.1%,"116,025"
10,11,Brimstone,0.97, 14.5  /  15  /  7.2 ,52.2%,3.8%,201,0.1%,"96,849"
11,12,KAY/O,0.88, 13.8  /  15.7  /  7.7 ,43.0%,2.9%,194,0.1%,"74,154"
12,13,Phoenix,1.01, 15.8  /  15.7  /  3.9 ,46.6%,2.2%,223,0.2%,"55,743"
13,14,Astra,0.99, 14.4  /  14.6  /  5.7 ,52.7%,1.6%,195,0.1%,"39,780"
14,15,Breach,0.92, 14.1  /  15.4  /  5.5 ,44.9%,0.7%,195,0.1%,"18,615"
15,16,Yoru,0.95, 14.8  /  15.6  /  3.4 ,46.8%,0.7%,210,0.2%,"17,544"
