,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.09, 17.3  /  15.9  /  3.7 ,49.1%,14.7%,239,0.1%,"11,537"
1,2,Fade,0.97, 14.6  /  15.1  /  6.8 ,49.8%,10.4%,202,0.1%,"8,124"
2,3,Reyna,1.14, 17.8  /  15.7  /  4.4 ,51.5%,9.6%,246,0.1%,"7,537"
3,4,Viper,1.03, 15.1  /  14.7  /  6.3 ,50.2%,6.9%,209,0.2%,"5,412"
4,5,Cypher,1.01, 14.8  /  14.6  /  4.8 ,48.0%,6.8%,202,0.2%,"5,316"
5,6,Killjoy,1.06, 15.2  /  14.3  /  3.8 ,50.6%,6.2%,209,0.2%,"4,828"
6,7,Astra,1.06, 15.3  /  14.5  /  7 ,50.6%,6.1%,209,0.2%,"4,782"
7,8,Sage,0.95, 14  /  14.8  /  7.2 ,52.4%,5.6%,195,0.1%,"4,384"
8,9,Phoenix,1.12, 17.5  /  15.6  /  5 ,50.2%,5.0%,245,0.1%,"3,960"
9,10,Raze,1.04, 16.5  /  15.8  /  4.7 ,49.7%,4.4%,238,0.1%,"3,462"
10,11,KAY/O,0.94, 14.7  /  15.7  /  9.2 ,46.5%,4.2%,208,0.1%,"3,296"
11,12,Skye,0.97, 14.8  /  15.3  /  8 ,50.6%,3.8%,205,0.1%,"3,001"
12,13,Harbor,0.92, 13.9  /  15.2  /  6.2 ,44.6%,3.8%,192,0.1%,"2,995"
13,14,Chamber,1.08, 16.3  /  15.1  /  2.8 ,43.6%,3.0%,217,0.1%,"2,326"
14,15,Brimstone,0.98, 14.6  /  14.9  /  9 ,51.6%,2.6%,207,0.1%,"2,032"
15,16,Sova,1.02, 14.8  /  14.6  /  5.8 ,51.8%,1.8%,208,0.1%,"1,450"
16,17,Omen,0.98, 15.3  /  15.6  /  7.5 ,47.4%,1.6%,211,0.1%,"1,243"
17,18,Neon,0.97, 16.2  /  16.8  /  4.4 ,45.5%,1.4%,225,0.1%,"1,068"
18,19,Yoru,1.01, 15.9  /  15.7  /  4.4 ,45.7%,1.3%,222,0.1%,991
19,20,Breach,0.95, 14.6  /  15.4  /  7.4 ,52.7%,0.9%,201,0.1%,736
