,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Reyna,1.2, 18.3  /  15.2  /  4.7 ,51.0%,12.5%,258,0.1%,"1,173,729"
1,2,Sage,0.9, 13.2  /  14.6  /  7 ,50.2%,9.9%,187,0.1%,"936,623"
2,3,Jett,1.14, 17.5  /  15.4  /  4 ,50.2%,9.6%,246,0.1%,"907,619"
3,4,Killjoy,1, 14  /  14  /  4.1 ,50.6%,5.8%,200,0.1%,"548,725"
4,5,Omen,0.98, 14.8  /  15  /  6.1 ,48.4%,5.5%,208,0.1%,"515,617"
5,6,Raze,1.06, 16.4  /  15.5  /  4.9 ,49.8%,5.4%,240,0.1%,"513,273"
6,7,Viper,1, 14.5  /  14.4  /  5.9 ,50.2%,5.4%,206,0.1%,"511,800"
7,8,Gekko,0.95, 14  /  14.8  /  5 ,51.1%,5.1%,196,0.1%,"477,976"
8,9,Skye,0.94, 13.9  /  14.8  /  7.7 ,49.3%,5.0%,198,0.1%,"470,640"
9,10,Brimstone,0.98, 14.3  /  14.6  /  7.7 ,50.8%,4.5%,207,0.1%,"428,436"
10,11,Phoenix,1.14, 17.1  /  15  /  4.8 ,50.7%,3.9%,244,0.1%,"366,092"
11,12,Fade,0.95, 14.1  /  14.9  /  6.4 ,49.8%,3.8%,200,0.1%,"359,513"
12,13,Chamber,1.1, 15.9  /  14.5  /  3.3 ,48.6%,3.7%,219,0.1%,"352,871"
13,14,Cypher,1, 14.3  /  14.2  /  5 ,49.3%,3.5%,199,0.1%,"325,038"
14,15,Sova,0.98, 14.3  /  14.6  /  5.5 ,48.7%,2.9%,205,0.1%,"277,567"
15,16,KAY/O,0.91, 14  /  15.3  /  8.2 ,46.3%,2.7%,203,0.1%,"256,285"
16,17,Harbor,0.91, 13.6  /  15  /  6 ,47.7%,2.7%,192,0.1%,"251,760"
17,18,Neon,1.02, 16.2  /  15.9  /  4.3 ,48.6%,2.3%,232,0.1%,"216,210"
18,19,Astra,1.05, 14.9  /  14.2  /  6 ,50.6%,2.0%,208,0.1%,"188,350"
19,20,Yoru,1.02, 15.7  /  15.4  /  4.6 ,46.8%,1.9%,221,0.1%,"181,903"
20,21,Breach,0.95, 14.4  /  15.3  /  6.1 ,48.1%,1.7%,206,0.1%,"160,205"
