,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Reyna,1.17, 18.1  /  15.5  /  4.6 ,50.9%,10.4%,250,0.1%,"18,705"
1,2,Jett,1.11, 17.6  /  15.9  /  3.9 ,50.1%,10.3%,243,0.1%,"18,573"
2,3,Brimstone,1, 14.8  /  14.7  /  8.7 ,51.8%,10.3%,208,0.1%,"18,561"
3,4,Breach,0.96, 14.7  /  15.3  /  6.9 ,49.2%,8.7%,202,0.1%,"15,697"
4,5,Killjoy,1.01, 14.5  /  14.4  /  4 ,50.4%,7.8%,202,0.2%,"14,070"
5,6,Sage,0.93, 13.9  /  14.9  /  7 ,50.1%,7.0%,192,0.1%,"12,640"
6,7,Raze,1.07, 16.9  /  15.7  /  4.8 ,50.1%,6.4%,242,0.1%,"11,474"
7,8,Gekko,0.96, 14.3  /  14.9  /  5 ,50.3%,5.9%,195,0.1%,"10,584"
8,9,Cypher,1.01, 14.8  /  14.7  /  5 ,48.8%,4.4%,202,0.1%,"7,834"
9,10,Viper,1, 14.6  /  14.7  /  5.7 ,51.6%,4.1%,203,0.2%,"7,393"
10,11,Fade,0.97, 14.5  /  14.9  /  6.3 ,50.5%,3.6%,200,0.1%,"6,528"
11,12,Omen,0.97, 14.9  /  15.4  /  6.9 ,46.5%,3.0%,205,0.1%,"5,349"
12,13,Neon,1.03, 16.8  /  16.3  /  4.4 ,49.1%,3.0%,236,0.1%,"5,321"
13,14,KAY/O,0.92, 14.2  /  15.5  /  9 ,45.4%,2.9%,204,0.1%,"5,276"
14,15,Skye,0.96, 14.5  /  15.2  /  7.3 ,48.8%,2.8%,201,0.1%,"4,995"
15,16,Chamber,1.08, 16.3  /  15.1  /  3 ,49.6%,2.8%,220,0.1%,"4,952"
16,17,Phoenix,1.13, 17.1  /  15.1  /  4.5 ,52.0%,2.3%,240,0.1%,"4,200"
17,18,Sova,0.99, 14.7  /  14.8  /  5.4 ,47.0%,1.2%,206,0.1%,"2,181"
18,19,Astra,1.03, 15.1  /  14.8  /  6.3 ,43.6%,1.2%,209,0.1%,"2,135"
19,20,Yoru,1.02, 16.2  /  15.8  /  4.4 ,46.6%,1.1%,222,0.1%,"1,921"
20,21,Harbor,0.92, 14  /  15.3  /  5.8 ,45.7%,0.9%,193,0.1%,"1,638"
