,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Reyna,1.19, 18.2  /  15.3  /  4.3 ,50.4%,11.9%,254,0.2%,"443,014"
1,2,Raze,1.08, 17  /  15.7  /  4.8 ,50.1%,10.0%,246,0.2%,"372,059"
2,3,Brimstone,0.99, 14.6  /  14.6  /  7.7 ,51.0%,8.4%,207,0.1%,"313,304"
3,4,Jett,1.12, 17.5  /  15.6  /  3.6 ,49.3%,8.3%,243,0.2%,"309,894"
4,5,Skye,0.95, 14.2  /  14.9  /  7.2 ,49.7%,7.5%,198,0.1%,"282,093"
5,6,Sage,0.92, 13.6  /  14.7  /  6.6 ,50.7%,7.4%,190,0.1%,"276,512"
6,7,Omen,0.99, 15  /  15  /  6.4 ,48.1%,6.7%,208,0.1%,"251,015"
7,8,Deadlock,1, 14.9  /  14.9  /  3.9 ,48.9%,5.2%,207,0.1%,"195,103"
8,9,Killjoy,0.99, 14  /  14.2  /  3.7 ,49.7%,4.4%,197,0.1%,"164,779"
9,10,Cypher,1, 14.3  /  14.3  /  4.6 ,49.3%,4.3%,196,0.1%,"160,135"
10,11,Chamber,1.1, 16.1  /  14.6  /  2.9 ,49.0%,3.7%,219,0.2%,"138,482"
11,12,Phoenix,1.13, 17.2  /  15.2  /  4.4 ,50.8%,3.3%,242,0.2%,"121,939"
12,13,Sova,1, 14.6  /  14.6  /  5.4 ,49.5%,2.8%,206,0.1%,"103,921"
13,14,Gekko,0.94, 14.1  /  15  /  4.6 ,49.9%,2.7%,195,0.1%,"101,590"
14,15,Viper,1.01, 14.7  /  14.6  /  5.3 ,49.5%,2.5%,207,0.1%,"93,156"
15,16,Fade,0.96, 14.2  /  14.9  /  6.1 ,49.8%,2.4%,199,0.1%,"90,085"
16,17,Breach,0.94, 14.5  /  15.4  /  5.8 ,47.8%,2.0%,203,0.1%,"74,161"
17,18,KAY/O,0.92, 14.1  /  15.4  /  8 ,45.2%,1.7%,203,0.1%,"65,117"
18,19,Yoru,1.03, 16  /  15.5  /  4.1 ,46.8%,1.7%,223,0.2%,"65,002"
19,20,Neon,1.01, 16.2  /  16  /  4 ,47.3%,1.3%,229,0.2%,"49,257"
20,21,Astra,1.04, 15.1  /  14.5  /  5.8 ,49.1%,1.2%,207,0.1%,"46,516"
21,22,Harbor,0.93, 14  /  15.1  /  5.5 ,46.8%,0.6%,195,0.1%,"21,057"
