,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Reyna,1.18, 18.2  /  15.4  /  4.6 ,50.5%,11.8%,254,0.1%,"964,908",Duelist
1,2,Jett,1.12, 17.5  /  15.7  /  3.9 ,49.7%,11.4%,244,0.1%,"935,724",Duelist
2,3,Sage,0.91, 13.4  /  14.8  /  7.1 ,50.1%,8.5%,188,0.1%,"693,948",Sentinel
3,4,Viper,1.01, 14.7  /  14.6  /  6 ,50.0%,6.0%,207,0.1%,"492,493",Controller
4,5,Killjoy,1.0, 14.2  /  14.2  /  3.9 ,50.3%,5.9%,200,0.1%,"481,826",Sentinel
5,6,Skye,0.94, 14.2  /  15  /  7.8 ,49.2%,5.3%,199,0.1%,"436,191",Initiator
6,7,Gekko,0.95, 14.2  /  14.9  /  5 ,51.0%,5.2%,195,0.1%,"422,463",Initiator
7,8,Raze,1.06, 16.6  /  15.7  /  4.9 ,49.6%,5.1%,240,0.1%,"415,281",Duelist
8,9,Omen,0.97, 14.8  /  15.2  /  6.4 ,48.0%,4.6%,206,0.1%,"375,489",Controller
9,10,Chamber,1.1, 16.1  /  14.7  /  3.1 ,48.5%,4.2%,219,0.1%,"344,984",Sentinel
10,11,Brimstone,0.97, 14.3  /  14.8  /  8.1 ,50.6%,4.2%,205,0.1%,"339,338",Controller
11,12,Fade,0.96, 14.3  /  15  /  6.5 ,49.8%,4.1%,201,0.1%,"338,115",Initiator
12,13,Phoenix,1.14, 17.4  /  15.3  /  4.8 ,50.8%,3.9%,246,0.1%,"314,819",Duelist
13,14,Cypher,1.01, 14.5  /  14.4  /  4.9 ,49.3%,3.6%,199,0.1%,"295,094",Sentinel
14,15,Harbor,0.91, 13.7  /  15.1  /  6.2 ,47.3%,3.2%,191,0.1%,"259,206",Controller
15,16,Astra,1.06, 15.1  /  14.3  /  6.3 ,50.5%,2.7%,208,0.1%,"222,302",Controller
16,17,KAY/O,0.92, 14.2  /  15.5  /  8.4 ,45.7%,2.7%,204,0.1%,"221,264",Initiator
17,18,Sova,0.99, 14.5  /  14.6  /  5.6 ,48.9%,2.7%,206,0.1%,"217,586",Initiator
18,19,Neon,1.0, 16.2  /  16.2  /  4.3 ,47.7%,1.8%,230,0.1%,"150,588",Duelist
19,20,Breach,0.94, 14.4  /  15.4  /  6.4 ,47.9%,1.6%,203,0.1%,"127,907",Initiator
20,21,Yoru,1.02, 15.9  /  15.6  /  4.6 ,47.1%,1.6%,222,0.1%,"127,269",Duelist
