,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Reyna,1.17, 17.7  /  15.1  /  4.7 ,50.6%,12.2%,250,0.2%,"493,427"
1,2,Sage,0.88, 12.9  /  14.6  /  7 ,50.1%,9.1%,184,0.1%,"367,309"
2,3,Jett,1.1, 16.8  /  15.4  /  4 ,49.8%,8.2%,238,0.2%,"332,384"
3,4,Omen,0.97, 14.5  /  14.9  /  6.1 ,48.6%,6.3%,205,0.1%,"253,824"
4,5,Skye,0.92, 13.5  /  14.8  /  7.7 ,49.5%,5.7%,194,0.1%,"229,871"
5,6,Raze,1.04, 16  /  15.4  /  5 ,50.2%,5.5%,235,0.2%,"223,557"
6,7,Deadlock,0.97, 14.4  /  14.8  /  4.1 ,49.4%,5.1%,206,0.1%,"205,520"
7,8,Killjoy,0.98, 13.7  /  14  /  4.1 ,50.7%,4.9%,197,0.1%,"197,880"
8,9,Brimstone,0.96, 14  /  14.6  /  7.6 ,50.7%,4.6%,203,0.1%,"187,144"
9,10,Viper,0.98, 14.1  /  14.4  /  5.8 ,50.0%,4.5%,202,0.1%,"180,453"
10,11,Gekko,0.92, 13.7  /  14.8  /  5 ,50.5%,4.3%,192,0.1%,"172,548"
11,12,Chamber,1.08, 15.6  /  14.4  /  3.3 ,48.9%,3.7%,215,0.2%,"150,968"
12,13,Phoenix,1.1, 16.5  /  15  /  4.7 ,50.5%,3.7%,235,0.2%,"148,531"
13,14,Fade,0.92, 13.7  /  14.8  /  6.3 ,49.6%,3.3%,195,0.1%,"135,456"
14,15,Cypher,0.99, 14  /  14.1  /  4.9 ,49.6%,3.2%,196,0.1%,"130,788"
15,16,Sova,0.96, 13.9  /  14.5  /  5.5 ,48.9%,2.7%,200,0.1%,"109,322"
16,17,KAY/O,0.89, 13.6  /  15.3  /  8.1 ,46.1%,2.4%,199,0.1%,"97,967"
17,18,Neon,1, 15.9  /  15.9  /  4.3 ,48.7%,2.4%,227,0.2%,"96,748"
18,19,Yoru,1, 15.3  /  15.3  /  4.4 ,47.3%,2.1%,216,0.2%,"86,601"
19,20,Astra,1.04, 14.6  /  14.1  /  6 ,50.6%,2.1%,204,0.1%,"84,589"
20,21,Harbor,0.9, 13.4  /  14.9  /  5.9 ,47.7%,2.1%,189,0.1%,"84,292"
21,22,Breach,0.94, 14.3  /  15.2  /  6.1 ,48.5%,1.9%,204,0.1%,"78,091"
