,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.08, 17.9  /  16.6  /  3.8 ,49.0%,16.9%,246,0.1%,"11,015"
1,2,Viper,1.02, 15.4  /  15.1  /  6.1 ,49.5%,16.3%,210,0.2%,"10,602"
2,3,Sova,0.99, 14.9  /  15  /  5.6 ,49.3%,13.1%,203,0.2%,"8,575"
3,4,Reyna,1.12, 18.1  /  16.1  /  4.2 ,49.4%,11.2%,248,0.1%,"7,291"
4,5,Sage,0.94, 14.3  /  15.2  /  7.2 ,50.4%,10.2%,194,0.1%,"6,680"
5,6,Killjoy,1.05, 15.3  /  14.5  /  3.4 ,50.2%,7.3%,207,0.2%,"4,747"
6,7,Gekko,0.97, 14.6  /  15.2  /  4.9 ,49.3%,6.6%,197,0.2%,"4,315"
7,8,Raze,1.04, 17  /  16.4  /  4.8 ,49.9%,4.9%,242,0.1%,"3,204"
8,9,KAY/O,0.91, 14.7  /  16.1  /  9.5 ,40.2%,2.1%,208,0.1%,"1,400"
9,10,Chamber,1.09, 16.6  /  15.2  /  2.6 ,49.2%,2.1%,220,0.1%,"1,387"
10,11,Harbor,0.89, 14.3  /  16  /  6.2 ,38.1%,1.6%,194,0.1%,"1,030"
11,12,Omen,1, 15.7  /  15.7  /  6.3 ,49.7%,1.5%,212,0.1%,984
12,13,Skye,0.96, 14.6  /  15.3  /  7.4 ,48.5%,1.1%,203,0.1%,701
13,14,Fade,0.95, 14.6  /  15.4  /  6.1 ,47.5%,0.9%,201,0.1%,615
14,15,Phoenix,1.1, 17.2  /  15.7  /  4.3 ,50.9%,0.9%,239,0.1%,609
15,16,Cypher,1.02, 15.9  /  15.5  /  4.3 ,45.4%,0.9%,211,0.1%,566
16,17,Yoru,0.98, 15.3  /  15.6  /  4.1 ,49.8%,0.7%,215,0.1%,454
17,18,Neon,0.98, 16.8  /  17.2  /  4.2 ,42.2%,0.6%,234,0.1%,396
18,19,Brimstone,0.92, 14.6  /  15.8  /  7.9 ,43.4%,0.6%,205,0.1%,373
19,20,Astra,1.08, 15.8  /  14.7  /  5.5 ,59.1%,0.2%,212,0.1%,159
20,21,Breach,0.92, 14.4  /  15.6  /  6.2 ,45.0%,0.2%,202,0.1%,131
