,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.07, 17.9  /  16.7  /  3.6 ,49.6%,19.3%,246,0.1%,"3,484",Duelist
1,2,Sova,1.01, 15  /  14.9  /  5.5 ,51.1%,17.4%,204,0.2%,"3,143",Initiator
2,3,Viper,1.06, 15.8  /  15  /  6 ,50.9%,17.1%,214,0.2%,"3,087",Controller
3,4,Reyna,1.13, 18.3  /  16.2  /  4.1 ,52.1%,11.5%,249,0.1%,"2,075",Duelist
4,5,Killjoy,1.08, 15.6  /  14.5  /  3.1 ,51.1%,10.2%,209,0.2%,"1,833",Sentinel
5,6,Sage,0.93, 14.2  /  15.3  /  7.1 ,50.9%,10.0%,193,0.1%,"1,796",Sentinel
6,7,Raze,1.04, 17.1  /  16.6  /  4.7 ,48.1%,4.3%,241,0.1%,781,Duelist
7,8,Harbor,0.91, 14.3  /  15.8  /  6.2 ,43.1%,1.9%,191,0.1%,348,Controller
8,9,KAY/O,0.96, 15.1  /  15.7  /  9.8 ,45.5%,1.8%,213,0.1%,321,Initiator
9,10,Chamber,1.14, 17.3  /  15.1  /  2.6 ,56.1%,1.7%,232,0.1%,312,Sentinel
10,11,Yoru,0.91, 14.8  /  16.3  /  4 ,38.7%,0.9%,201,0.1%,155,Duelist
11,12,Skye,0.88, 14.7  /  16.6  /  7.6 ,30.8%,0.7%,190,0.2%,130,Initiator
12,13,Phoenix,1.07, 17.6  /  16.5  /  4.6 ,44.4%,0.7%,241,0.1%,126,Duelist
13,14,Fade,1.0, 15.8  /  15.8  /  6.1 ,49.5%,0.6%,210,0.2%,103,Initiator
14,15,Neon,1.0, 17.7  /  17.6  /  4.5 ,47.3%,0.5%,229,0.1%,91,Duelist
15,16,Cypher,1.06, 16.6  /  15.7  /  4.1 ,50.0%,0.5%,213,0.1%,86,Sentinel
16,17,Omen,0.99, 15.3  /  15.5  /  5.8 ,34.6%,0.4%,217,0.1%,81,Controller
17,18,Brimstone,1.0, 15.4  /  15.3  /  7.8 ,50.9%,0.3%,212,0.2%,55,Controller
18,19,Breach,0.85, 14.6  /  17.1  /  7.4 ,18.8%,0.2%,201,0.1%,32,Initiator
19,20,Astra,1.17, 19.3  /  16.5  /  4 ,83.3%,0.0%,235,0.1%,6,Controller
