,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.07, 17.2  /  16  /  3.4 ,49.4%,18.9%,234,0.2%,"37,690",Duelist
1,2,Astra,1.04, 15.1  /  14.6  /  7.2 ,50.0%,8.9%,203,0.1%,"17,876",Controller
2,3,Reyna,1.11, 17.5  /  15.8  /  4.2 ,50.5%,8.8%,239,0.2%,"17,541",Duelist
3,4,Skye,0.94, 14.4  /  15.2  /  8.1 ,50.0%,8.2%,196,0.1%,"16,315",Initiator
4,5,Killjoy,1.04, 15.2  /  14.6  /  3.4 ,50.9%,7.6%,207,0.1%,"15,129",Sentinel
5,6,Viper,1.04, 15.3  /  14.8  /  6.3 ,50.7%,6.1%,210,0.1%,"12,194",Controller
6,7,Chamber,1.08, 16.3  /  15.1  /  2.5 ,49.1%,5.7%,217,0.2%,"11,329",Sentinel
7,8,Fade,0.97, 14.7  /  15.1  /  6.5 ,49.8%,5.3%,200,0.1%,"10,557",Initiator
8,9,Phoenix,1.1, 17.4  /  15.8  /  4.9 ,51.1%,4.3%,240,0.2%,"8,554",Duelist
9,10,Cypher,1.02, 15.1  /  14.8  /  4.6 ,49.9%,4.3%,202,0.1%,"8,505",Sentinel
10,11,Gekko,0.97, 14.6  /  15.1  /  4.9 ,50.6%,3.7%,195,0.1%,"7,388",Initiator
11,12,Raze,1.04, 16.6  /  15.9  /  4.7 ,51.6%,3.0%,237,0.2%,"5,896",Duelist
12,13,Deadlock,1.04, 15.8  /  15.1  /  3.8 ,51.0%,2.9%,210,0.1%,"5,772",Sentinel
13,14,Harbor,0.92, 14  /  15.2  /  6.7 ,46.1%,2.7%,191,0.1%,"5,443",Controller
14,15,Sage,0.94, 14.5  /  15.3  /  6.9 ,49.2%,2.1%,199,0.1%,"4,098",Sentinel
15,16,Brimstone,0.96, 14.6  /  15.1  /  9.4 ,51.3%,1.7%,206,0.1%,"3,471",Controller
16,17,KAY/O,0.93, 14.5  /  15.6  /  9.1 ,46.0%,1.4%,204,0.1%,"2,884",Initiator
17,18,Sova,1.01, 14.8  /  14.6  /  6 ,50.4%,1.3%,206,0.1%,"2,689",Initiator
18,19,Yoru,1.01, 15.9  /  15.7  /  4.4 ,49.2%,1.2%,219,0.2%,"2,304",Duelist
19,20,Omen,0.97, 14.8  /  15.2  /  7.7 ,48.0%,1.1%,203,0.1%,"2,237",Controller
20,21,Neon,0.96, 15.9  /  16.7  /  4.2 ,46.4%,0.6%,223,0.2%,"1,163",Duelist
21,22,Breach,0.95, 14.6  /  15.3  /  7.3 ,44.8%,0.3%,203,0.1%,699,Initiator
