,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.08, 17.4  /  16.1  /  3.3 ,50.6%,20.3%,234,0.2%,"25,618",Duelist
1,2,Omen,0.98, 14.7  /  15  /  9.2 ,50.0%,15.5%,199,0.1%,"19,527",Controller
2,3,Sova,1.01, 14.8  /  14.7  /  5.8 ,50.1%,14.4%,203,0.1%,"18,211",Initiator
3,4,Killjoy,1.06, 15.7  /  14.7  /  3.1 ,51.1%,10.4%,209,0.1%,"13,092",Sentinel
4,5,Reyna,1.1, 17.4  /  15.9  /  4.2 ,50.6%,10.3%,235,0.2%,"12,998",Duelist
5,6,Cypher,1.01, 15.2  /  15  /  4.4 ,48.4%,4.3%,201,0.1%,"5,385",Sentinel
6,7,Phoenix,1.09, 17.2  /  15.8  /  4.7 ,52.2%,3.9%,235,0.2%,"4,967",Duelist
7,8,Skye,0.96, 14.6  /  15.2  /  7.9 ,49.9%,3.7%,199,0.1%,"4,639",Initiator
8,9,Chamber,1.1, 16.8  /  15.2  /  2.5 ,49.0%,3.0%,220,0.2%,"3,788",Sentinel
9,10,Raze,1.04, 16.7  /  16  /  4.4 ,49.0%,2.7%,237,0.2%,"3,386",Duelist
10,11,Breach,0.94, 14.4  /  15.4  /  8.3 ,47.7%,2.4%,196,0.1%,"2,977",Initiator
11,12,Deadlock,1.04, 15.9  /  15.3  /  3.7 ,50.0%,1.7%,207,0.1%,"2,208",Sentinel
12,13,Brimstone,0.98, 14.5  /  14.8  /  10.5 ,52.5%,1.7%,204,0.1%,"2,131",Controller
13,14,Astra,1.04, 15.4  /  14.8  /  7.8 ,49.8%,1.6%,204,0.1%,"1,964",Controller
14,15,Sage,0.99, 15.2  /  15.3  /  6.9 ,52.9%,1.4%,205,0.1%,"1,708",Sentinel
15,16,Yoru,1.03, 16.4  /  15.9  /  4.6 ,51.8%,0.8%,221,0.2%,"1,045",Duelist
16,17,Fade,0.99, 15.1  /  15.3  /  7 ,51.4%,0.7%,201,0.1%,914,Initiator
17,18,KAY/O,0.95, 14.8  /  15.6  /  10.3 ,44.2%,0.5%,208,0.1%,629,Initiator
18,19,Neon,0.99, 16.6  /  16.8  /  4.2 ,53.6%,0.4%,226,0.2%,507,Duelist
19,20,Gekko,0.95, 14.6  /  15.3  /  5 ,49.4%,0.3%,195,0.1%,332,Initiator
20,21,Viper,1.02, 15.6  /  15.2  /  5.5 ,46.6%,0.1%,216,163,,Controller
21,22,Harbor,0.88, 14.1  /  15.9  /  6.5 ,51.4%,0.0%,183,0.1%,37,Controller
