,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.07, 17.3  /  16.1  /  3.8 ,48.8%,11.2%,239,0.2%,"242,261",Duelist
1,2,Omen,1.0, 15.1  /  15.1  /  7.6 ,48.9%,10.7%,207,0.1%,"229,887",Controller
2,3,Sage,0.95, 14.1  /  14.9  /  7.5 ,51.2%,10.1%,197,0.1%,"217,411",Sentinel
3,4,Raze,1.05, 16.9  /  16.1  /  4.9 ,50.2%,9.7%,244,0.2%,"210,345",Duelist
4,5,Reyna,1.13, 17.7  /  15.7  /  4.4 ,49.9%,9.7%,244,0.2%,"209,119",Duelist
5,6,Skye,0.96, 14.4  /  15  /  7.9 ,49.4%,8.6%,199,0.1%,"184,603",Initiator
6,7,Cypher,1.01, 14.8  /  14.6  /  4.7 ,48.6%,5.1%,201,0.1%,"109,168",Sentinel
7,8,Deadlock,1.01, 15.2  /  15  /  3.9 ,49.2%,4.6%,215,0.1%,"99,105",Sentinel
8,9,Killjoy,1.01, 14.6  /  14.5  /  3.7 ,49.4%,4.4%,202,0.1%,"95,722",Sentinel
9,10,Brimstone,0.97, 14.6  /  15  /  9.1 ,50.7%,4.1%,208,0.1%,"88,557",Controller
10,11,Astra,1.05, 15.4  /  14.7  /  6.8 ,49.6%,3.1%,210,0.1%,"67,515",Controller
11,12,Chamber,1.08, 16.3  /  15.1  /  2.9 ,48.1%,2.9%,219,0.2%,"63,540",Sentinel
12,13,Breach,0.94, 14.5  /  15.4  /  7 ,48.0%,2.5%,201,0.1%,"54,695",Initiator
13,14,Phoenix,1.09, 17  /  15.6  /  4.7 ,50.1%,2.5%,238,0.2%,"53,007",Duelist
14,15,KAY/O,0.92, 14.3  /  15.6  /  8.8 ,45.4%,2.0%,204,0.1%,"43,081",Initiator
15,16,Gekko,0.94, 14.3  /  15.2  /  4.7 ,48.5%,1.9%,194,0.1%,"41,599",Initiator
16,17,Fade,0.96, 14.5  /  15.1  /  6.1 ,48.5%,1.7%,199,0.1%,"36,663",Initiator
17,18,Sova,0.99, 14.8  /  14.9  /  5.4 ,47.9%,1.6%,206,0.1%,"33,530",Initiator
18,19,Viper,1.01, 14.9  /  14.8  /  5.6 ,48.1%,1.5%,208,0.1%,"32,538",Controller
19,20,Yoru,1.02, 15.9  /  15.6  /  4.4 ,46.5%,1.1%,220,0.2%,"22,796",Duelist
20,21,Neon,0.98, 16  /  16.4  /  4.1 ,46.8%,0.8%,223,0.2%,"17,524",Duelist
21,22,Harbor,0.92, 14.1  /  15.3  /  5.9 ,43.2%,0.3%,195,0.1%,"5,661",Controller
