,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.09, 17.5  /  16  /  3.6 ,49.3%,12.1%,239,0.2%,"237,412",Duelist
1,2,Omen,0.99, 14.9  /  15.1  /  7.6 ,49.5%,10.7%,204,0.1%,"211,476",Controller
2,3,Reyna,1.14, 17.8  /  15.6  /  4.3 ,50.0%,9.9%,244,0.2%,"195,040",Duelist
3,4,Raze,1.07, 17  /  15.9  /  4.8 ,50.1%,9.1%,244,0.2%,"179,968",Duelist
4,5,Skye,0.95, 14.3  /  15.1  /  8.2 ,49.6%,7.0%,197,0.1%,"136,825",Initiator
5,6,Killjoy,1.03, 14.7  /  14.4  /  3.5 ,50.1%,6.3%,202,0.1%,"124,345",Sentinel
6,7,Chamber,1.11, 16.6  /  15  /  2.8 ,49.7%,6.1%,222,0.2%,"120,124",Sentinel
7,8,Breach,0.94, 14.4  /  15.3  /  7.3 ,48.6%,4.9%,198,0.1%,"97,246",Initiator
8,9,Gekko,0.94, 14.2  /  15.1  /  4.8 ,50.0%,4.6%,191,0.1%,"90,341",Initiator
9,10,Deadlock,1.01, 15.2  /  15.1  /  3.8 ,49.0%,4.5%,213,0.1%,"88,337",Sentinel
10,11,Sage,0.93, 14  /  15  /  7 ,50.1%,3.9%,193,0.1%,"76,918",Sentinel
11,12,Brimstone,0.97, 14.5  /  14.9  /  9.1 ,51.3%,3.5%,205,0.1%,"68,121",Controller
12,13,Phoenix,1.11, 17.2  /  15.5  /  4.6 ,50.1%,2.4%,239,0.2%,"46,729",Duelist
13,14,Cypher,1.01, 14.8  /  14.7  /  4.6 ,48.4%,2.4%,200,0.1%,"46,573",Sentinel
14,15,Astra,1.03, 15.2  /  14.7  /  6.7 ,50.6%,2.3%,205,0.1%,"44,820",Controller
15,16,Fade,0.96, 14.4  /  15.1  /  6.5 ,49.2%,2.1%,198,0.1%,"40,952",Initiator
16,17,Harbor,0.93, 14.2  /  15.2  /  6.3 ,46.5%,1.6%,194,0.1%,"32,138",Controller
17,18,Viper,1.02, 15.1  /  14.7  /  5.9 ,48.9%,1.5%,208,0.1%,"30,025",Controller
18,19,KAY/O,0.92, 14.3  /  15.6  /  9.3 ,44.6%,1.4%,203,0.1%,"27,920",Initiator
19,20,Sova,0.99, 14.7  /  14.9  /  5.7 ,47.8%,1.3%,205,0.1%,"26,238",Initiator
20,21,Neon,0.99, 16.3  /  16.5  /  4.3 ,47.7%,1.3%,227,0.2%,"25,046",Duelist
21,22,Yoru,1.01, 16  /  15.9  /  4.3 ,46.8%,1.1%,219,0.2%,"21,021",Duelist
