,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Reyna,1.16, 17.8  /  15.3  /  4.5 ,50.1%,12.3%,250,0.2%,"591,365"
1,2,Omen,0.98, 14.7  /  15  /  6.7 ,48.8%,10.3%,206,0.1%,"498,424"
2,3,Jett,1.11, 17.2  /  15.5  /  3.8 ,49.7%,9.6%,241,0.2%,"462,637"
3,4,Sage,0.9, 13.3  /  14.7  /  6.9 ,50.0%,9.2%,188,0.1%,"441,461"
4,5,Raze,1.05, 16.3  /  15.5  /  4.7 ,49.6%,5.7%,237,0.2%,"276,028"
5,6,Skye,0.93, 13.8  /  14.9  /  7.4 ,48.9%,5.4%,196,0.1%,"259,981"
6,7,Brimstone,0.96, 14.2  /  14.7  /  8 ,50.6%,5.4%,204,0.1%,"259,786"
7,8,Killjoy,0.97, 13.9  /  14.3  /  3.7 ,50.0%,5.4%,197,0.1%,"259,452"
8,9,Sova,0.98, 14.2  /  14.5  /  5.3 ,49.5%,4.7%,201,0.1%,"227,445"
9,10,Deadlock,0.97, 14.5  /  14.9  /  3.9 ,49.1%,4.6%,211,0.1%,"223,701"
10,11,Phoenix,1.11, 16.9  /  15.1  /  4.5 ,50.6%,3.7%,239,0.2%,"176,181"
11,12,Chamber,1.07, 15.7  /  14.6  /  3.1 ,48.4%,3.3%,216,0.2%,"160,051"
12,13,Gekko,0.92, 13.8  /  15  /  4.9 ,49.4%,3.1%,193,0.1%,"148,482"
13,14,Cypher,1, 14.4  /  14.4  /  4.8 ,49.2%,3.0%,200,0.1%,"145,441"
14,15,Breach,0.94, 14.3  /  15.3  /  6.2 ,48.7%,2.7%,202,0.1%,"130,034"
15,16,Fade,0.93, 13.9  /  15  /  6.3 ,49.3%,2.2%,197,0.1%,"105,907"
16,17,KAY/O,0.9, 13.8  /  15.3  /  8.4 ,45.8%,2.2%,201,0.1%,"105,722"
17,18,Neon,1, 15.9  /  16  /  4.1 ,48.0%,1.9%,227,0.2%,"92,371"
18,19,Yoru,1, 15.4  /  15.4  /  4.3 ,46.7%,1.8%,217,0.2%,"85,777"
19,20,Viper,0.97, 14.2  /  14.7  /  5.5 ,48.1%,1.7%,201,0.1%,"80,592"
20,21,Astra,1.02, 14.8  /  14.5  /  5.9 ,48.9%,1.3%,205,0.1%,"62,504"
21,22,Harbor,0.9, 13.6  /  15.2  /  5.8 ,44.9%,0.5%,193,0.1%,"25,775"
