,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.09, 17.7  /  16.3  /  3.9 ,49.1%,14.9%,246,0.1%,"23,593",Duelist
1,2,Viper,1.01, 15.1  /  14.9  /  5.7 ,49.7%,13.5%,207,0.2%,"21,329",Controller
2,3,Sage,0.93, 13.9  /  14.9  /  7.1 ,50.5%,11.9%,191,0.1%,"18,766",Sentinel
3,4,Sova,1.0, 14.8  /  14.8  /  5.5 ,49.7%,11.6%,205,0.2%,"18,322",Initiator
4,5,Reyna,1.14, 18.2  /  16  /  4.2 ,49.9%,11.0%,250,0.1%,"17,451",Duelist
5,6,Killjoy,1.02, 14.9  /  14.6  /  3.6 ,49.2%,6.5%,204,0.2%,"10,334",Sentinel
6,7,Raze,1.03, 16.7  /  16.3  /  4.5 ,47.7%,6.0%,238,0.1%,"9,544",Duelist
7,8,KAY/O,0.93, 14.6  /  15.7  /  9 ,45.6%,3.7%,207,0.1%,"5,930",Initiator
8,9,Omen,0.98, 15.2  /  15.5  /  5.9 ,47.1%,3.3%,210,0.1%,"5,201",Controller
9,10,Chamber,1.07, 16.3  /  15.2  /  2.9 ,46.8%,3.0%,217,0.1%,"4,719",Sentinel
10,11,Skye,0.95, 14.7  /  15.5  /  7.3 ,48.7%,2.5%,202,0.1%,"3,895",Initiator
11,12,Fade,0.96, 14.6  /  15.2  /  6.4 ,52.5%,2.4%,202,0.1%,"3,841",Initiator
12,13,Harbor,0.93, 14.3  /  15.4  /  6 ,47.1%,1.9%,195,0.1%,"3,036",Controller
13,14,Phoenix,1.09, 17  /  15.6  /  4.4 ,50.2%,1.8%,235,0.1%,"2,820",Duelist
14,15,Brimstone,0.94, 14.5  /  15.5  /  7.2 ,46.1%,1.5%,204,0.1%,"2,338",Controller
15,16,Cypher,0.98, 14.5  /  14.7  /  4.4 ,48.7%,1.2%,198,0.1%,"1,974",Sentinel
16,17,Neon,0.99, 16.8  /  16.9  /  4.1 ,49.2%,1.1%,231,0.1%,"1,680",Duelist
17,18,Yoru,0.99, 15.7  /  15.9  /  4.1 ,46.0%,1.0%,219,0.1%,"1,597",Duelist
18,19,Breach,0.94, 14.5  /  15.4  /  6.4 ,47.3%,0.7%,203,0.1%,"1,176",Initiator
19,20,Astra,0.99, 14.7  /  14.8  /  5.2 ,44.2%,0.4%,205,0.1%,625,Controller
