,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Reyna,1.16, 18.1  /  15.6  /  4.6 ,50.3%,11.8%,253,0.1%,"27,711",Duelist
1,2,Jett,1.1, 17.4  /  15.9  /  3.9 ,49.0%,10.7%,242,0.1%,"25,074",Duelist
2,3,Sage,0.93, 13.9  /  14.9  /  7.1 ,50.1%,9.9%,193,0.1%,"23,135",Sentinel
3,4,Omen,0.99, 15  /  15.2  /  7.1 ,49.0%,9.8%,208,0.1%,"23,039",Controller
4,5,Killjoy,1.0, 14.4  /  14.4  /  3.9 ,50.4%,6.5%,201,0.2%,"15,119",Sentinel
5,6,Brimstone,0.97, 14.6  /  15  /  8.5 ,51.4%,5.9%,207,0.1%,"13,709",Controller
6,7,Gekko,0.96, 14.4  /  15  /  5.2 ,50.5%,5.4%,198,0.1%,"12,757",Initiator
7,8,Sova,1.0, 14.7  /  14.7  /  5.6 ,50.0%,5.4%,207,0.1%,"12,724",Initiator
8,9,Raze,1.06, 16.8  /  15.9  /  4.8 ,48.8%,5.4%,242,0.1%,"12,676",Duelist
9,10,Phoenix,1.14, 17.6  /  15.5  /  4.6 ,50.6%,3.8%,247,0.1%,"8,998",Duelist
10,11,Skye,0.95, 14.3  /  15.1  /  7.4 ,49.0%,3.7%,201,0.1%,"8,708",Initiator
11,12,Cypher,1.0, 14.6  /  14.6  /  4.9 ,49.2%,3.5%,201,0.1%,"8,270",Sentinel
12,13,Fade,0.96, 14.4  /  15  /  6.5 ,50.1%,3.2%,202,0.1%,"7,587",Initiator
13,14,KAY/O,0.92, 14.4  /  15.6  /  8.9 ,46.2%,2.8%,205,0.1%,"6,559",Initiator
14,15,Chamber,1.09, 16.2  /  14.9  /  3.1 ,48.8%,2.7%,221,0.1%,"6,285",Sentinel
15,16,Breach,0.95, 14.7  /  15.4  /  6.6 ,49.8%,2.7%,205,0.1%,"6,231",Initiator
16,17,Astra,1.01, 15  /  14.8  /  6.4 ,48.9%,1.7%,206,0.1%,"4,020",Controller
17,18,Neon,0.99, 16.1  /  16.3  /  4.3 ,48.4%,1.5%,227,0.1%,"3,589",Duelist
18,19,Yoru,1.02, 16.1  /  15.8  /  4.6 ,47.9%,1.4%,224,0.1%,"3,294",Duelist
19,20,Viper,0.98, 14.3  /  14.7  /  5.6 ,46.9%,1.4%,203,0.1%,"3,253",Controller
20,21,Harbor,0.9, 13.8  /  15.4  /  5.9 ,44.0%,0.7%,194,0.1%,"1,533",Controller
