,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.09, 17.4  /  16  /  3.7 ,49.3%,11.0%,239,0.2%,"262,112",Duelist
1,2,Omen,0.98, 14.8  /  15.1  /  7.4 ,49.0%,10.4%,203,0.1%,"249,663",Controller
2,3,Reyna,1.13, 17.7  /  15.6  /  4.3 ,49.9%,10.3%,243,0.2%,"247,270",Duelist
3,4,Raze,1.06, 16.8  /  15.9  /  4.9 ,50.3%,8.7%,242,0.2%,"207,688",Duelist
4,5,Skye,0.94, 14.1  /  15  /  8.1 ,49.7%,6.8%,195,0.1%,"163,246",Initiator
5,6,Killjoy,1.01, 14.5  /  14.3  /  3.6 ,50.6%,6.0%,199,0.1%,"142,828",Sentinel
6,7,Chamber,1.1, 16.4  /  14.9  /  2.9 ,49.7%,5.5%,220,0.2%,"131,078",Sentinel
7,8,Sage,0.91, 13.6  /  14.9  /  7 ,50.0%,4.9%,189,0.1%,"117,378",Sentinel
8,9,Deadlock,0.99, 14.9  /  15.1  /  3.8 ,49.0%,4.8%,209,0.1%,"115,447",Sentinel
9,10,Breach,0.93, 14.3  /  15.3  /  7.1 ,49.3%,4.7%,198,0.1%,"111,247",Initiator
10,11,Gekko,0.93, 14  /  15.1  /  4.8 ,49.5%,4.6%,190,0.1%,"109,189",Initiator
11,12,Brimstone,0.96, 14.3  /  14.9  /  8.8 ,50.9%,3.9%,203,0.1%,"92,655",Controller
12,13,Phoenix,1.1, 17  /  15.4  /  4.6 ,50.4%,2.6%,237,0.2%,"62,466",Duelist
13,14,Cypher,1.0, 14.6  /  14.6  /  4.6 ,48.8%,2.4%,197,0.1%,"57,743",Sentinel
14,15,Fade,0.94, 14.2  /  15.1  /  6.4 ,49.2%,2.2%,196,0.1%,"52,966",Initiator
15,16,Astra,1.02, 15  /  14.7  /  6.4 ,49.3%,2.1%,204,0.1%,"50,754",Controller
16,17,Viper,1.0, 14.8  /  14.7  /  5.7 ,49.2%,1.8%,206,0.1%,"42,501",Controller
17,18,KAY/O,0.9, 14.1  /  15.6  /  9.1 ,44.7%,1.6%,201,0.1%,"38,774",Initiator
18,19,Sova,0.97, 14.4  /  14.9  /  5.6 ,47.8%,1.6%,202,0.1%,"37,162",Initiator
19,20,Harbor,0.92, 14  /  15.2  /  6.2 ,47.7%,1.6%,191,0.1%,"37,136",Controller
20,21,Neon,0.99, 16.2  /  16.4  /  4.2 ,47.4%,1.5%,226,0.2%,"34,856",Duelist
21,22,Yoru,0.99, 15.7  /  15.8  /  4.3 ,46.8%,1.2%,216,0.2%,"27,805",Duelist
