,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Reyna,1.18, 17.5  /  14.9  /  4.7 ,51.9%,12.1%,252,0.1%,"36,748",Duelist
1,2,Sage,0.89, 12.7  /  14.3  /  6.8 ,50.0%,11.8%,184,0.1%,"35,748",Sentinel
2,3,Killjoy,0.98, 13.7  /  13.9  /  4.3 ,52.0%,7.2%,199,0.2%,"21,892",Sentinel
3,4,Jett,1.09, 16.6  /  15.2  /  4.1 ,49.9%,7.0%,238,0.1%,"21,270",Duelist
4,5,Brimstone,0.97, 14.1  /  14.5  /  7.2 ,50.8%,6.6%,205,0.1%,"20,105",Controller
5,6,Raze,1.03, 15.6  /  15.1  /  4.9 ,50.0%,6.5%,232,0.1%,"19,813",Duelist
6,7,Omen,0.96, 14.3  /  14.8  /  5.6 ,48.9%,5.6%,204,0.1%,"16,909",Controller
7,8,Breach,0.93, 14  /  15  /  6 ,49.7%,5.2%,202,0.1%,"15,944",Initiator
8,9,Fade,0.92, 13.5  /  14.7  /  6.2 ,50.4%,4.4%,195,0.1%,"13,361",Initiator
9,10,Skye,0.9, 13.2  /  14.7  /  7.3 ,49.4%,4.2%,193,0.1%,"12,738",Initiator
10,11,Viper,0.96, 13.8  /  14.5  /  5.4 ,50.2%,4.1%,199,0.1%,"12,615",Controller
11,12,Neon,1.0, 15.5  /  15.5  /  4.4 ,48.3%,3.9%,227,0.1%,"11,815",Duelist
12,13,Phoenix,1.09, 16.1  /  14.8  /  4.6 ,50.0%,3.7%,233,0.1%,"11,362",Duelist
13,14,KAY/O,0.9, 13.5  /  15  /  8.2 ,47.1%,3.6%,200,0.1%,"10,939",Initiator
14,15,Cypher,0.97, 13.8  /  14.2  /  5 ,47.2%,3.4%,197,0.1%,"10,322",Sentinel
15,16,Sova,0.93, 13.6  /  14.6  /  5.2 ,47.5%,3.4%,199,0.1%,"10,237",Initiator
16,17,Chamber,1.06, 15.5  /  14.7  /  3.4 ,49.0%,2.6%,217,0.1%,"7,963",Sentinel
17,18,Yoru,0.97, 14.7  /  15.1  /  4.3 ,44.9%,2.5%,212,0.1%,"7,518",Duelist
18,19,Harbor,0.89, 13.3  /  15  /  5.4 ,46.6%,1.3%,192,0.1%,"3,846",Controller
19,20,Astra,1.01, 14.7  /  14.5  /  5.4 ,47.1%,0.9%,205,0.1%,"2,837",Controller
