,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.06, 17.8  /  16.7  /  3.8 ,49.4%,17.7%,245,0.1%,"6,263"
1,2,Viper,1.02, 15.2  /  14.9  /  5.8 ,50.1%,16.8%,209,0.2%,"5,937"
2,3,Sova,0.99, 14.8  /  15  /  5.6 ,49.0%,15.3%,203,0.2%,"5,402"
3,4,Reyna,1.13, 18.2  /  16.2  /  4.1 ,51.2%,11.5%,248,0.1%,"4,076"
4,5,Sage,0.95, 14.4  /  15.1  /  7.1 ,51.3%,10.4%,195,0.1%,"3,677"
5,6,Killjoy,1.04, 15.3  /  14.7  /  3.3 ,51.6%,8.1%,205,0.2%,"2,876"
6,7,Raze,1.02, 16.9  /  16.6  /  4.5 ,49.7%,5.1%,238,0.1%,"1,795"
7,8,KAY/O,0.94, 14.8  /  15.7  /  9.2 ,46.8%,2.7%,210,0.1%,970
8,9,Chamber,1.06, 16.4  /  15.5  /  2.7 ,43.0%,2.4%,217,0.1%,859
9,10,Harbor,0.94, 14.8  /  15.8  /  6.1 ,44.2%,1.9%,201,0.1%,678
10,11,Skye,0.94, 14.7  /  15.6  /  7.4 ,44.9%,1.5%,202,0.1%,530
11,12,Omen,1.02, 16.2  /  15.8  /  5.7 ,49.0%,1.3%,215,0.1%,465
12,13,Phoenix,1.08, 17  /  15.7  /  4.2 ,49.5%,1.1%,236,0.1%,372
13,14,Fade,0.95, 14.8  /  15.6  /  6.4 ,43.6%,1.0%,202,0.1%,365
14,15,Yoru,0.99, 16.3  /  16.5  /  4.1 ,42.5%,0.9%,220,0.1%,308
15,16,Neon,0.93, 16.2  /  17.4  /  4.3 ,41.6%,0.7%,221,0.1%,255
16,17,Cypher,1.02, 15.2  /  15  /  4.4 ,37.6%,0.7%,202,0.2%,242
17,18,Brimstone,0.95, 14.4  /  15.2  /  7.5 ,47.8%,0.5%,206,0.1%,178
18,19,Breach,0.89, 14.2  /  15.9  /  6.4 ,53.1%,0.2%,194,0.1%,81
19,20,Astra,1, 15.3  /  15.3  /  5.4 ,43.5%,0.1%,207,46,
