,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.08, 17.4  /  16.1  /  3.7 ,49.0%,14.9%,238,0.1%,"733,747",Duelist
1,2,Omen,0.98, 14.9  /  15.2  /  8.7 ,48.3%,11.7%,204,0.1%,"576,856",Controller
2,3,Killjoy,1.0, 14.5  /  14.4  /  3.7 ,49.2%,10.9%,199,0.1%,"539,990",Sentinel
3,4,Sova,1.02, 14.9  /  14.6  /  6.2 ,50.2%,10.6%,207,0.1%,"521,789",Initiator
4,5,Reyna,1.11, 17.6  /  15.8  /  4.5 ,49.9%,9.7%,241,0.1%,"479,949",Duelist
5,6,Sage,0.94, 14  /  15  /  7.2 ,50.4%,5.5%,193,0.1%,"273,377",Sentinel
6,7,Brimstone,0.96, 14.5  /  15  /  10 ,51.6%,5.1%,205,0.1%,"249,306",Controller
7,8,Raze,1.02, 16.5  /  16.1  /  5 ,49.3%,4.9%,236,0.1%,"241,929",Duelist
8,9,KAY/O,0.92, 14.3  /  15.6  /  9.2 ,45.2%,4.7%,202,0.1%,"231,021",Initiator
9,10,Skye,0.94, 14.4  /  15.3  /  7.9 ,48.6%,3.5%,198,0.1%,"172,605",Initiator
10,11,Phoenix,1.11, 17.4  /  15.7  /  4.9 ,51.4%,3.2%,241,0.1%,"159,477",Duelist
11,12,Chamber,1.07, 16.3  /  15.2  /  2.9 ,48.1%,3.0%,218,0.1%,"146,805",Sentinel
12,13,Cypher,1.0, 14.7  /  14.6  /  5 ,49.7%,2.9%,198,0.1%,"145,299",Sentinel
13,14,Fade,0.96, 14.5  /  15.1  /  6.7 ,49.2%,2.0%,199,0.1%,"99,723",Initiator
14,15,Astra,1.03, 15.3  /  14.8  /  7.8 ,49.7%,2.0%,207,0.1%,"96,241",Controller
15,16,Gekko,0.92, 14.1  /  15.3  /  4.9 ,47.2%,1.7%,192,0.1%,"85,288",Initiator
16,17,Breach,0.93, 14.4  /  15.6  /  7.2 ,47.3%,1.2%,200,0.1%,"56,870",Initiator
17,18,Yoru,1.01, 16  /  15.8  /  4.6 ,47.0%,0.9%,219,0.1%,"42,738",Duelist
18,19,Viper,0.99, 14.6  /  14.8  /  5.9 ,48.3%,0.7%,203,0.1%,"33,655",Controller
19,20,Neon,0.95, 15.8  /  16.6  /  4.2 ,45.7%,0.7%,219,0.1%,"32,635",Duelist
20,21,Harbor,0.92, 14.1  /  15.4  /  6.3 ,44.6%,0.3%,194,0.1%,"13,618",Controller
