,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.08, 17.3  /  16.1  /  3.6 ,48.1%,13.0%,238,0.1%,"7,045",Duelist
1,2,Raze,1.07, 17.2  /  16  /  4.8 ,50.8%,9.8%,245,0.1%,"5,286",Duelist
2,3,Reyna,1.13, 17.7  /  15.7  /  4.4 ,50.9%,9.5%,243,0.1%,"5,144",Duelist
3,4,Killjoy,1.05, 15.2  /  14.4  /  3.6 ,49.8%,9.0%,207,0.2%,"4,894",Sentinel
4,5,Breach,0.94, 14.3  /  15.3  /  7.7 ,48.6%,8.7%,197,0.1%,"4,741",Initiator
5,6,Omen,1.0, 15  /  15  /  7.5 ,51.6%,8.5%,205,0.1%,"4,615",Controller
6,7,Chamber,1.11, 16.4  /  14.8  /  2.7 ,50.5%,5.2%,222,0.1%,"2,828",Sentinel
7,8,Skye,0.98, 14.5  /  14.8  /  8 ,52.1%,5.1%,200,0.1%,"2,747",Initiator
8,9,Fade,0.99, 14.7  /  14.9  /  6.7 ,50.9%,4.0%,201,0.2%,"2,188",Initiator
9,10,Sage,0.95, 14.3  /  15.1  /  7 ,50.0%,3.9%,196,0.1%,"2,130",Sentinel
10,11,Harbor,0.94, 14.4  /  15.2  /  6.6 ,48.4%,3.8%,195,0.1%,"2,076",Controller
11,12,Cypher,1.03, 15.1  /  14.6  /  4.6 ,49.9%,3.7%,205,0.2%,"1,993",Sentinel
12,13,Astra,1.05, 15.5  /  14.7  /  6.5 ,51.3%,3.5%,208,0.2%,"1,872",Controller
13,14,Brimstone,1.0, 15.2  /  15.2  /  9.1 ,48.5%,3.1%,209,0.1%,"1,659",Controller
14,15,KAY/O,0.94, 14.6  /  15.5  /  9.9 ,45.8%,2.2%,207,0.1%,"1,187",Initiator
15,16,Phoenix,1.14, 17.6  /  15.4  /  4.8 ,51.4%,2.2%,240,0.1%,"1,178",Duelist
16,17,Sova,1.01, 15.1  /  15  /  5.8 ,49.6%,1.4%,206,0.1%,750,Initiator
17,18,Neon,1.0, 16.6  /  16.5  /  4.2 ,47.9%,1.4%,230,0.1%,743,Duelist
18,19,Viper,1.05, 15.4  /  14.6  /  5.6 ,48.8%,1.2%,209,0.2%,660,Controller
19,20,Yoru,1.07, 16.9  /  15.7  /  4.2 ,53.5%,0.8%,227,0.1%,454,Duelist
