,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Reyna,1.21, 18.3  /  15.2  /  4.5 ,51.2%,12.7%,258,0.1%,"45,369"
1,2,Sage,0.92, 13.4  /  14.6  /  6.9 ,50.9%,9.8%,191,0.1%,"35,040"
2,3,Jett,1.13, 17.5  /  15.5  /  3.9 ,49.8%,8.5%,247,0.1%,"30,482"
3,4,Omen,0.99, 14.9  /  15  /  6 ,49.1%,7.4%,209,0.1%,"26,558"
4,5,Raze,1.08, 16.7  /  15.4  /  5 ,50.3%,7.4%,247,0.1%,"26,312"
5,6,Killjoy,1.01, 14.3  /  14.1  /  4 ,50.5%,6.9%,203,0.2%,"24,611"
6,7,Skye,0.94, 14  /  14.9  /  7.5 ,49.9%,5.4%,199,0.1%,"19,310"
7,8,Brimstone,0.99, 14.6  /  14.8  /  7.4 ,50.5%,4.6%,210,0.1%,"16,302"
8,9,Fade,0.95, 14.1  /  14.9  /  6.1 ,49.8%,4.3%,201,0.1%,"15,227"
9,10,Breach,0.96, 14.5  /  15.1  /  6.3 ,49.9%,4.3%,205,0.1%,"15,207"
10,11,Phoenix,1.15, 17.2  /  15  /  4.6 ,51.6%,3.9%,245,0.1%,"14,023"
11,12,KAY/O,0.91, 14  /  15.3  /  8.6 ,46.9%,3.7%,204,0.1%,"13,366"
12,13,Chamber,1.11, 16.3  /  14.7  /  3.2 ,49.7%,3.4%,223,0.1%,"12,060"
13,14,Cypher,0.99, 14.3  /  14.4  /  4.8 ,49.2%,3.2%,199,0.2%,"11,543"
14,15,Sova,0.99, 14.6  /  14.7  /  5.2 ,48.0%,3.1%,208,0.1%,"11,014"
15,16,Viper,0.98, 14.4  /  14.6  /  5.5 ,49.1%,2.9%,205,0.1%,"10,470"
16,17,Neon,1.01, 16.1  /  16  /  4.3 ,47.3%,2.7%,232,0.1%,"9,675"
17,18,Harbor,0.94, 14.1  /  15.1  /  5.6 ,47.5%,2.2%,198,0.1%,"7,922"
18,19,Yoru,1.01, 15.5  /  15.4  /  4.2 ,47.1%,1.8%,219,0.1%,"6,515"
19,20,Astra,1.05, 15.1  /  14.4  /  5.5 ,51.9%,1.7%,211,0.1%,"5,929"
