,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Reyna,1.14, 17.7  /  15.5  /  4.5 ,49.6%,10.9%,246,0.2%,"358,310"
1,2,Sage,0.92, 13.7  /  14.8  /  7.4 ,50.8%,10.3%,192,0.1%,"338,120"
2,3,Omen,0.99, 15  /  15.1  /  7 ,49.0%,9.8%,207,0.1%,"322,964"
3,4,Jett,1.08, 17.1  /  15.9  /  3.8 ,48.8%,9.5%,239,0.2%,"313,309"
4,5,Raze,1.05, 16.7  /  15.8  /  4.9 ,50.0%,8.6%,242,0.2%,"281,773"
5,6,Skye,0.94, 14  /  14.9  /  7.8 ,49.5%,7.2%,196,0.1%,"236,593"
6,7,Deadlock,0.99, 14.9  /  15  /  3.9 ,48.6%,4.9%,210,0.1%,"161,498"
7,8,Killjoy,1, 14.3  /  14.4  /  3.8 ,49.7%,4.8%,201,0.1%,"156,192"
8,9,Brimstone,0.96, 14.4  /  15  /  8.5 ,50.0%,4.7%,206,0.1%,"155,404"
9,10,Cypher,1.01, 14.6  /  14.5  /  4.8 ,48.8%,4.6%,201,0.1%,"151,081"
10,11,Phoenix,1.1, 16.9  /  15.4  /  4.6 ,49.8%,3.0%,238,0.2%,"98,051"
11,12,Chamber,1.06, 16  /  15  /  3.1 ,48.3%,2.7%,218,0.2%,"89,279"
12,13,Gekko,0.93, 14  /  15.1  /  4.7 ,48.9%,2.6%,193,0.1%,"84,653"
13,14,Breach,0.94, 14.4  /  15.3  /  6.5 ,48.4%,2.6%,201,0.1%,"84,214"
14,15,Astra,1.04, 15.2  /  14.6  /  6.4 ,49.2%,2.4%,209,0.1%,"78,499"
15,16,KAY/O,0.91, 14  /  15.4  /  8.4 ,45.1%,2.2%,201,0.1%,"71,377"
16,17,Viper,0.99, 14.5  /  14.7  /  5.5 ,48.6%,2.1%,204,0.1%,"70,268"
17,18,Sova,0.97, 14.3  /  14.8  /  5.3 ,48.1%,2.0%,203,0.1%,"67,052"
18,19,Fade,0.94, 14.1  /  15.1  /  6 ,48.5%,2.0%,197,0.1%,"65,607"
19,20,Yoru,1.01, 15.6  /  15.5  /  4.4 ,47.1%,1.3%,218,0.2%,"43,589"
20,21,Neon,0.98, 15.8  /  16.2  /  4.1 ,47.2%,1.3%,223,0.2%,"41,660"
21,22,Harbor,0.91, 13.8  /  15.2  /  5.7 ,44.4%,0.4%,193,0.1%,"13,615"
