,Rank,Agent,KD,KDA,Win %,Pick %,Avg. Score,First Blood %,Matches
0,1,Sage,0.73, 10.4  /  14.2  /  5.8 ,50.7%,16.5%,155,0.1%,"514,692"
1,2,Reyna,0.94, 13.9  /  14.7  /  4 ,49.3%,11.3%,206,0.2%,"351,033"
2,3,Jett,0.91, 13.4  /  14.7  /  3.7 ,49.7%,8.7%,199,0.2%,"269,943"
3,4,Raze,0.84, 12.6  /  14.9  /  4.6 ,48.8%,7.4%,194,0.1%,"230,163"
4,5,Sova,0.77, 11.1  /  14.4  /  4.9 ,50.3%,6.1%,168,0.1%,"190,332"
5,6,Omen,0.82, 12.1  /  14.8  /  4 ,48.8%,5.7%,176,0.1%,"176,970"
6,7,Viper,0.77, 11.1  /  14.5  /  4.5 ,50.4%,5.4%,166,0.1%,"167,382"
7,8,Yoru,0.82, 12.1  /  14.7  /  3.6 ,46.9%,5.3%,179,0.1%,"165,954"
8,9,Killjoy,0.79, 11  /  13.9  /  4 ,51.2%,5.1%,169,0.1%,"159,069"
9,10,Neon,0.8, 12  /  15.1  /  3.6 ,48.5%,4.7%,181,0.2%,"145,299"
10,11,Chamber,0.86, 12.2  /  14.3  /  3.7 ,48.0%,4.5%,180,0.1%,"139,740"
11,12,Phoenix,0.83, 12.1  /  14.6  /  3.7 ,47.3%,4.1%,182,0.1%,"127,143"
12,13,Skye,0.74, 10.7  /  14.5  /  5.8 ,49.4%,3.8%,161,0.1%,"117,606"
13,14,Brimstone,0.81, 11.7  /  14.4  /  5.5 ,50.9%,3.7%,176,0.1%,"116,331"
14,15,KAY/O,0.75, 11.2  /  14.9  /  6.4 ,49.6%,3.0%,170,0.1%,"92,718"
15,16,Cypher,0.8, 11.4  /  14.2  /  4.3 ,48.5%,2.7%,166,0.1%,"85,323"
16,17,Breach,0.78, 11.6  /  14.9  /  4 ,48.3%,1.5%,172,0.1%,"46,665"
17,18,Astra,0.79, 11.3  /  14.3  /  3.9 ,47.7%,0.6%,165,0.1%,"18,717"
