,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.07, 17.4  /  16.2  /  3.6 ,47.8%,17.1%,237,0.1%,"6,111"
1,2,Omen,0.98, 14.9  /  15.1  /  8.5 ,49.2%,13.2%,202,0.1%,"4,694"
2,3,Sova,1.03, 14.9  /  14.5  /  5.8 ,49.9%,10.7%,208,0.2%,"3,813"
3,4,Reyna,1.1, 17.7  /  16  /  4.5 ,48.0%,9.4%,242,0.1%,"3,349"
4,5,Killjoy,1.03, 15  /  14.7  /  3.5 ,49.6%,8.3%,204,0.2%,"2,959"
5,6,Cypher,1.02, 15.2  /  14.9  /  4.6 ,48.4%,5.8%,204,0.1%,"2,082"
6,7,Raze,1.05, 16.9  /  16.1  /  4.6 ,52.9%,4.5%,240,0.1%,"1,591"
7,8,Phoenix,1.1, 17.4  /  15.8  /  4.9 ,51.2%,4.4%,240,0.1%,"1,565"
8,9,Skye,0.96, 14.7  /  15.3  /  7.9 ,48.8%,4.4%,203,0.1%,"1,563"
9,10,Sage,0.97, 14.7  /  15.2  /  7.1 ,49.3%,4.4%,200,0.1%,"1,554"
10,11,Brimstone,0.98, 14.4  /  14.8  /  9.8 ,51.6%,3.6%,204,0.2%,"1,285"
11,12,Fade,0.96, 14.7  /  15.3  /  7 ,49.4%,3.3%,199,0.1%,"1,192"
12,13,Breach,0.98, 15.3  /  15.6  /  8 ,48.5%,2.9%,207,0.1%,"1,034"
13,14,Astra,1.06, 16  /  15.1  /  7.6 ,47.2%,2.2%,211,0.2%,794
14,15,Chamber,1.07, 16.6  /  15.5  /  2.6 ,44.4%,2.0%,219,0.1%,698
15,16,KAY/O,0.92, 14.4  /  15.6  /  10.1 ,43.1%,1.8%,208,0.1%,641
16,17,Yoru,0.94, 14.8  /  15.8  /  4.5 ,45.3%,0.8%,209,0.1%,287
17,18,Neon,0.96, 15.9  /  16.6  /  4.3 ,45.6%,0.7%,219,0.1%,239
18,19,Harbor,0.95, 14.9  /  15.7  /  6.4 ,37.7%,0.3%,205,0.1%,114
19,20,Viper,1.08, 16  /  14.8  /  6.4 ,47.1%,0.2%,219,68,
