,Rank,Agent,KD,KDA,Win %,Pick %,Avg. Score,First Blood %,Matches
0,1,Reyna,1.11, 17.2  /  15.5  /  4.5 ,49.9%,15.1%,244,0.2%,"22,101"
1,2,Jett,1.08, 17  /  15.6  /  3.6 ,50.2%,13.2%,238,0.2%,"19,391"
2,3,Sage,0.95, 13.9  /  14.6  /  7.1 ,52.4%,11.4%,196,0.1%,"16,692"
3,4,Brimstone,0.94, 14.1  /  15  /  5.5 ,49.6%,9.4%,201,0.1%,"13,705"
4,5,Raze,1.04, 16.3  /  15.7  /  4.9 ,50.9%,9.2%,239,0.2%,"13,534"
5,6,Omen,0.96, 14.7  /  15.3  /  3.9 ,49.8%,8.7%,202,0.1%,"12,811"
6,7,Killjoy,0.96, 13.8  /  14.4  /  3.9 ,49.8%,7.9%,197,0.1%,"11,641"
7,8,Sova,0.99, 14.1  /  14.3  /  6.6 ,51.0%,7.2%,204,0.1%,"10,601"
8,9,Phoenix,1.05, 16.3  /  15.5  /  4.4 ,50.7%,5.9%,232,0.2%,"8,638"
9,10,Cypher,0.96, 14  /  14.5  /  4.8 ,49.2%,5.1%,195,0.1%,"7,476"
10,11,Yoru,0.9, 14.2  /  15.9  /  4 ,43.5%,2.9%,201,0.1%,"4,187"
11,12,Breach,0.91, 14  /  15.4  /  6.2 ,45.3%,2.3%,198,0.1%,"3,330"
12,13,Viper,0.99, 14.5  /  14.7  /  3.3 ,51.5%,0.8%,203,0.1%,"1,219"
13,14,Skye,0.88, 13.3  /  15.1  /  4.7 ,46.9%,0.8%,190,0.1%,"1,112"
