,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.08, 17.6  /  16.3  /  3.5 ,49.7%,14.5%,240,0.2%,"32,245",Duelist
1,2,Skye,0.96, 14.5  /  15.1  /  8.4 ,49.2%,14.1%,198,0.1%,"31,436",Initiator
2,3,Raze,1.04, 17  /  16.4  /  4.9 ,50.5%,13.9%,244,0.2%,"31,119",Duelist
3,4,Omen,1.0, 15  /  15  /  9 ,49.5%,11.9%,205,0.1%,"26,550",Controller
4,5,Sage,0.99, 15  /  15.1  /  7.4 ,52.4%,9.2%,204,0.1%,"20,522",Sentinel
5,6,Reyna,1.11, 17.6  /  15.8  /  4.2 ,50.7%,7.0%,239,0.2%,"15,650",Duelist
6,7,Cypher,1.01, 14.9  /  14.8  /  4.3 ,48.1%,6.0%,199,0.1%,"13,431",Sentinel
7,8,Astra,1.06, 15.5  /  14.7  /  7.8 ,49.6%,5.0%,209,0.1%,"11,118",Controller
8,9,Killjoy,1.05, 15.2  /  14.5  /  3.3 ,50.8%,4.1%,207,0.1%,"9,098",Sentinel
9,10,Deadlock,1.03, 15.6  /  15.1  /  3.8 ,49.1%,3.8%,238,0.1%,"8,517",Sentinel
10,11,Chamber,1.11, 16.9  /  15.2  /  2.5 ,50.7%,2.5%,223,0.2%,"5,540",Sentinel
11,12,Brimstone,1.0, 14.9  /  14.9  /  10.9 ,52.7%,1.8%,211,0.1%,"4,045",Controller
12,13,Breach,0.95, 14.5  /  15.3  /  8.3 ,47.6%,1.3%,199,0.1%,"2,921",Initiator
13,14,Phoenix,1.09, 17.3  /  15.9  /  4.8 ,49.7%,1.0%,238,0.2%,"2,208",Duelist
14,15,Yoru,1.02, 16  /  15.7  /  4.4 ,47.6%,0.8%,221,0.2%,"1,807",Duelist
15,16,Viper,1.03, 15.5  /  15  /  5.5 ,45.8%,0.7%,214,0.1%,"1,671",Controller
16,17,KAY/O,0.94, 14.7  /  15.7  /  9.6 ,47.3%,0.7%,207,0.1%,"1,485",Initiator
17,18,Fade,0.98, 14.9  /  15.2  /  6.3 ,49.2%,0.6%,202,0.1%,"1,313",Initiator
18,19,Gekko,0.98, 14.9  /  15.2  /  4.6 ,46.5%,0.4%,198,0.1%,920,Initiator
19,20,Neon,0.97, 16.1  /  16.5  /  4 ,48.4%,0.3%,220,0.2%,771,Duelist
20,21,Sova,0.99, 14.8  /  14.9  /  5.9 ,47.7%,0.2%,209,0.1%,553,Initiator
21,22,Harbor,0.89, 13.8  /  15.6  /  6.4 ,45.0%,0.1%,187,180,,Controller
