,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Reyna,1.15, 17.8  /  15.5  /  4.4 ,50.0%,11.2%,247,0.2%,"365,193",Duelist
1,2,Omen,0.98, 14.7  /  15.1  /  6.9 ,49.0%,9.8%,203,0.1%,"317,351",Controller
2,3,Jett,1.1, 17.3  /  15.8  /  3.7 ,49.3%,9.7%,240,0.2%,"315,275",Duelist
3,4,Raze,1.06, 16.7  /  15.7  /  4.9 ,50.2%,8.2%,243,0.2%,"265,579",Duelist
4,5,Skye,0.93, 13.9  /  14.9  /  8 ,49.3%,6.5%,194,0.1%,"212,021",Initiator
5,6,Sage,0.9, 13.4  /  14.8  /  7 ,50.1%,6.4%,187,0.1%,"208,083",Sentinel
6,7,Killjoy,1.0, 14.2  /  14.3  /  3.7 ,50.0%,5.5%,198,0.1%,"178,483",Sentinel
7,8,Deadlock,0.98, 14.7  /  15  /  3.8 ,49.0%,5.1%,205,0.1%,"163,957",Sentinel
8,9,Chamber,1.1, 16.2  /  14.8  /  3 ,49.3%,4.7%,220,0.2%,"152,869",Sentinel
9,10,Gekko,0.93, 13.9  /  15  /  4.8 ,50.1%,4.5%,191,0.1%,"144,611",Initiator
10,11,Brimstone,0.96, 14.3  /  14.8  /  8.3 ,50.6%,4.3%,204,0.1%,"139,738",Controller
11,12,Breach,0.93, 14.2  /  15.3  /  6.8 ,49.2%,4.2%,199,0.1%,"136,822",Initiator
12,13,Phoenix,1.11, 16.9  /  15.3  /  4.5 ,50.0%,3.0%,237,0.2%,"97,582",Duelist
13,14,Cypher,0.99, 14.4  /  14.5  /  4.6 ,48.7%,2.4%,197,0.1%,"78,223",Sentinel
14,15,Fade,0.93, 14  /  15  /  6.3 ,49.4%,2.3%,195,0.1%,"74,515",Initiator
15,16,Viper,0.99, 14.5  /  14.7  /  5.7 ,48.7%,2.1%,204,0.1%,"67,029",Controller
16,17,KAY/O,0.9, 13.9  /  15.5  /  8.8 ,44.8%,1.9%,200,0.1%,"60,991",Initiator
17,18,Sova,0.96, 14.3  /  14.8  /  5.4 ,47.8%,1.9%,202,0.1%,"60,864",Initiator
18,19,Astra,1.02, 15  /  14.6  /  6.1 ,49.6%,1.8%,205,0.1%,"58,580",Controller
19,20,Neon,1.0, 16.1  /  16.2  /  4.2 ,48.1%,1.8%,228,0.2%,"57,762",Duelist
20,21,Harbor,0.91, 13.8  /  15.2  /  6 ,46.9%,1.4%,192,0.1%,"47,018",Controller
21,22,Yoru,0.99, 15.5  /  15.6  /  4.2 ,45.6%,1.3%,215,0.2%,"43,661",Duelist
