,Rank,Agent,KD,KDA,Win %,Pick %,Avg. Score,First Blood %,Matches
0,1,Reyna,1.17, 18  /  15.4  /  4.3 ,51.2%,12.7%,253,0.2%,"2,573,511"
1,2,Sage,0.91, 13.4  /  14.7  /  6.6 ,51.2%,10.4%,189,0.1%,"2,099,721"
2,3,Jett,1.1, 17.3  /  15.7  /  3.7 ,50.8%,9.4%,244,0.2%,"1,897,608"
3,4,Chamber,1.1, 16.2  /  14.7  /  3.1 ,51.0%,9.3%,223,0.2%,"1,892,151"
4,5,Raze,1.05, 16.4  /  15.7  /  4.8 ,50.6%,6.2%,240,0.2%,"1,250,979"
5,6,Omen,0.97, 14.7  /  15.1  /  5.7 ,49.3%,5.7%,206,0.1%,"1,147,398"
6,7,Viper,0.98, 14.2  /  14.5  /  5.3 ,50.8%,5.6%,200,0.1%,"1,131,333"
7,8,Brimstone,0.96, 14.2  /  14.7  /  7 ,51.6%,5.5%,204,0.1%,"1,120,521"
8,9,Sova,0.97, 14.3  /  14.7  /  5.3 ,50.1%,5.2%,203,0.1%,"1,061,259"
9,10,Fade,0.94, 14  /  15  /  6.2 ,50.7%,4.9%,197,0.1%,"995,571"
10,11,Killjoy,0.98, 13.9  /  14.2  /  3.9 ,52.2%,3.7%,199,0.1%,"759,339"
11,12,Skye,0.93, 14  /  15  /  6.9 ,49.5%,3.6%,198,0.1%,"723,792"
12,13,Phoenix,1.13, 17.1  /  15.2  /  4.3 ,51.6%,3.5%,243,0.2%,"702,219"
13,14,KAY/O,0.9, 13.9  /  15.4  /  7.7 ,47.0%,3.2%,201,0.1%,"653,055"
14,15,Cypher,0.99, 14.3  /  14.4  /  4.6 ,49.3%,2.6%,199,0.1%,"523,158"
15,16,Breach,0.93, 14.3  /  15.4  /  6.1 ,49.7%,2.3%,202,0.1%,"468,333"
16,17,Neon,1.01, 16.2  /  16.1  /  4.1 ,49.2%,2.2%,230,0.2%,"453,696"
17,18,Yoru,1, 15.5  /  15.4  /  4.1 ,46.9%,1.6%,219,0.1%,"315,996"
18,19,Astra,1.03, 14.7  /  14.3  /  5.5 ,50.1%,1.3%,204,0.1%,"266,985"
19,20,Harbor,0.9, 13.7  /  15.3  /  4.8 ,46.1%,1.2%,192,0.1%,"248,829"
