,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.07, 17.4  /  16.2  /  3.6 ,49.5%,18.0%,236,0.1%,"14,532"
1,2,Sova,1.02, 14.9  /  14.5  /  6.5 ,50.3%,12.8%,208,0.2%,"10,368"
2,3,Omen,1, 15  /  15  /  9.9 ,50.2%,12.4%,205,0.1%,"9,997"
3,4,Killjoy,1.03, 15.1  /  14.6  /  3.7 ,49.0%,11.9%,205,0.2%,"9,655"
4,5,Reyna,1.11, 17.5  /  15.8  /  4.5 ,50.7%,8.3%,239,0.1%,"6,736"
5,6,Gekko,0.97, 14.8  /  15.2  /  5.4 ,48.4%,7.1%,198,0.1%,"5,757"
6,7,KAY/O,0.95, 14.8  /  15.7  /  10 ,46.6%,4.4%,207,0.1%,"3,580"
7,8,Cypher,1.03, 15.3  /  14.8  /  5.2 ,50.1%,3.8%,203,0.1%,"3,052"
8,9,Raze,1.04, 16.7  /  16  /  5.2 ,49.9%,3.3%,240,0.1%,"2,692"
9,10,Brimstone,1, 15  /  15  /  11.1 ,52.2%,3.1%,210,0.1%,"2,547"
10,11,Astra,1.05, 15.6  /  14.9  /  8.6 ,49.2%,3.0%,210,0.1%,"2,426"
11,12,Phoenix,1.11, 17.5  /  15.7  /  5 ,52.3%,2.7%,240,0.1%,"2,165"
12,13,Sage,0.96, 14.5  /  15.1  /  7.3 ,50.4%,2.6%,199,0.1%,"2,087"
13,14,Fade,0.97, 14.7  /  15.2  /  7.2 ,47.7%,2.2%,200,0.1%,"1,814"
14,15,Skye,0.93, 14.5  /  15.6  /  8 ,45.1%,1.3%,200,0.1%,"1,073"
15,16,Chamber,1.1, 16.6  /  15.2  /  2.6 ,44.9%,1.3%,223,0.1%,"1,057"
16,17,Yoru,1.02, 16.2  /  15.9  /  4.7 ,43.3%,0.7%,223,0.1%,575
17,18,Breach,0.97, 15.3  /  15.8  /  8 ,43.6%,0.4%,210,0.1%,319
18,19,Neon,0.98, 16.4  /  16.7  /  4.4 ,41.1%,0.3%,228,0.1%,248
19,20,Harbor,0.94, 14.4  /  15.4  /  7.3 ,44.7%,0.1%,197,0.2%,114
20,21,Viper,1.11, 16.1  /  14.5  /  6.3 ,53.5%,0.1%,218,99,
