,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Sage,0.9, 13.5  /  14.9  /  7.1 ,50.8%,12.1%,188,0.1%,"26,592"
1,2,Jett,1.11, 17.7  /  16  /  3.9 ,49.9%,11.4%,247,0.1%,"25,127"
2,3,Reyna,1.14, 18.2  /  15.9  /  4.3 ,50.1%,11.4%,251,0.1%,"25,010"
3,4,Viper,1.01, 14.9  /  14.8  /  5.8 ,50.0%,11.0%,207,0.1%,"24,182"
4,5,Sova,0.98, 14.5  /  14.8  /  5.4 ,48.6%,8.1%,203,0.1%,"17,733"
5,6,Killjoy,1, 14.4  /  14.5  /  3.8 ,49.2%,6.3%,201,0.2%,"13,898"
6,7,Raze,1.03, 16.6  /  16.1  /  4.7 ,49.1%,5.8%,238,0.1%,"12,729"
7,8,Gekko,0.96, 14.4  /  15.1  /  4.8 ,50.5%,5.7%,196,0.1%,"12,586"
8,9,Omen,0.97, 15.2  /  15.6  /  5.8 ,47.8%,4.7%,210,0.1%,"10,248"
9,10,KAY/O,0.93, 14.6  /  15.6  /  8.9 ,47.1%,3.5%,208,0.1%,"7,621"
10,11,Chamber,1.09, 16.2  /  14.9  /  3.1 ,49.0%,2.8%,221,0.1%,"6,175"
11,12,Fade,0.94, 14.4  /  15.3  /  6.4 ,49.1%,2.7%,201,0.1%,"5,850"
12,13,Skye,0.94, 14.3  /  15.2  /  7.4 ,48.1%,2.5%,200,0.1%,"5,510"
13,14,Brimstone,0.94, 14.2  /  15.1  /  7.3 ,48.7%,2.5%,202,0.1%,"5,509"
14,15,Phoenix,1.09, 17.1  /  15.6  /  4.4 ,48.5%,2.2%,238,0.1%,"4,772"
15,16,Neon,1, 16.6  /  16.6  /  4.2 ,46.1%,1.6%,233,0.1%,"3,414"
16,17,Harbor,0.91, 14.1  /  15.4  /  5.8 ,46.0%,1.5%,193,0.1%,"3,259"
17,18,Cypher,0.95, 14.1  /  14.8  /  4.5 ,47.5%,1.4%,195,0.1%,"3,158"
18,19,Yoru,0.99, 15.8  /  16  /  4.1 ,45.9%,1.3%,218,0.1%,"2,751"
19,20,Breach,0.91, 14.2  /  15.6  /  6.2 ,47.7%,1.1%,200,0.1%,"2,310"
20,21,Astra,1.06, 15.8  /  14.9  /  5.2 ,48.0%,0.5%,211,0.2%,"1,112"
