,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Sage,0.87, 12.7  /  14.5  /  6.4 ,49.9%,12.1%,183,0.1%,"815,841"
1,2,Reyna,1.12, 16.8  /  15  /  4.4 ,50.2%,11.4%,241,0.1%,"768,013"
2,3,Raze,1, 15.3  /  15.2  /  4.8 ,49.7%,8.1%,228,0.1%,"544,702"
3,4,Omen,0.95, 14.1  /  14.8  /  5.4 ,48.6%,7.2%,201,0.1%,"482,728"
4,5,Jett,1.04, 15.8  /  15.2  /  3.8 ,49.1%,6.3%,227,0.1%,"427,128"
5,6,Brimstone,0.95, 13.8  /  14.5  /  6.5 ,50.5%,5.9%,201,0.1%,"398,493"
6,7,Killjoy,0.95, 13.2  /  14  /  4 ,50.8%,5.6%,193,0.1%,"379,513"
7,8,Skye,0.89, 13  /  14.7  /  6.9 ,49.2%,5.3%,189,0.1%,"361,025"
8,9,Gekko,0.88, 13.1  /  14.9  /  4.6 ,49.2%,4.8%,187,0.1%,"325,512"
9,10,Phoenix,1.03, 15.4  /  14.9  /  4.4 ,49.2%,4.2%,223,0.1%,"282,780"
10,11,Fade,0.88, 13.1  /  14.9  /  5.9 ,48.6%,3.6%,190,0.1%,"246,314"
11,12,Sova,0.92, 13.3  /  14.6  /  5 ,48.3%,3.6%,194,0.1%,"244,371"
12,13,Cypher,0.95, 13.4  /  14.2  /  4.8 ,49.1%,3.6%,190,0.1%,"244,277"
13,14,Viper,0.93, 13.5  /  14.5  /  5 ,48.9%,3.4%,195,0.1%,"231,373"
14,15,Yoru,0.94, 14.2  /  15.2  /  4.3 ,46.1%,3.0%,204,0.1%,"202,329"
15,16,Neon,0.95, 14.9  /  15.6  /  4 ,47.5%,2.9%,215,0.1%,"196,337"
16,17,KAY/O,0.86, 13  /  15.1  /  7.4 ,46.1%,2.6%,192,0.1%,"177,923"
17,18,Chamber,1.02, 14.7  /  14.4  /  3.3 ,48.1%,2.6%,206,0.1%,"176,548"
18,19,Breach,0.9, 13.6  /  15.1  /  5.3 ,48.3%,1.8%,196,0.1%,"120,447"
19,20,Harbor,0.86, 13  /  15  /  5.2 ,46.7%,1.1%,186,0.1%,"73,103"
20,21,Astra,0.98, 14.1  /  14.3  /  5.1 ,49.1%,0.8%,199,0.1%,"52,544"
