,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Reyna,1.16, 17.4  /  15  /  4.6 ,51.0%,11.9%,248,0.1%,"872,047"
1,2,Sage,0.9, 13  /  14.5  /  6.8 ,50.3%,11.3%,187,0.1%,"823,349"
2,3,Omen,0.97, 14.4  /  14.9  /  5.8 ,49.2%,8.2%,205,0.1%,"601,372"
3,4,Raze,1.04, 15.8  /  15.2  /  5.2 ,50.8%,7.4%,237,0.1%,"543,008"
4,5,Jett,1.09, 16.6  /  15.2  /  4 ,50.3%,7.2%,238,0.1%,"524,081"
5,6,Killjoy,0.97, 13.6  /  14  /  4 ,50.6%,5.9%,197,0.1%,"434,563"
6,7,Gekko,0.92, 13.5  /  14.8  /  4.8 ,50.1%,5.4%,192,0.1%,"396,753"
7,8,Skye,0.91, 13.4  /  14.7  /  7.7 ,49.5%,5.3%,194,0.1%,"386,011"
8,9,Brimstone,0.96, 14.1  /  14.7  /  7.2 ,50.3%,4.6%,205,0.1%,"334,211"
9,10,Phoenix,1.08, 16  /  14.9  /  4.6 ,49.8%,4.0%,231,0.1%,"288,791"
10,11,Fade,0.91, 13.4  /  14.8  /  6.2 ,49.1%,3.2%,193,0.1%,"231,753"
11,12,Sova,0.94, 13.8  /  14.6  /  5.3 ,48.5%,3.2%,199,0.1%,"231,014"
12,13,Chamber,1.06, 15.4  /  14.5  /  3.4 ,49.4%,3.1%,215,0.1%,"226,562"
13,14,Viper,0.96, 13.9  /  14.5  /  5.5 ,49.3%,3.0%,201,0.1%,"222,280"
14,15,Neon,0.99, 15.6  /  15.7  /  4.3 ,48.4%,3.0%,225,0.1%,"220,353"
15,16,KAY/O,0.88, 13.4  /  15.1  /  8.4 ,46.3%,2.8%,197,0.1%,"207,909"
16,17,Breach,0.93, 14.1  /  15.1  /  6.1 ,49.8%,2.7%,202,0.1%,"197,098"
17,18,Cypher,0.97, 13.9  /  14.2  /  4.8 ,48.5%,2.7%,195,0.1%,"196,831"
18,19,Yoru,0.96, 14.7  /  15.2  /  4.5 ,46.2%,2.4%,209,0.1%,"177,282"
19,20,Harbor,0.9, 13.4  /  15  /  5.7 ,47.2%,1.7%,192,0.1%,"120,966"
20,21,Astra,1.02, 14.6  /  14.4  /  5.4 ,49.9%,1.0%,205,0.1%,"72,847"
