,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.1, 17.9  /  16.3  /  3.9 ,49.8%,14.3%,248,0.1%,"25,771"
1,2,Viper,1.01, 15  /  14.9  /  5.7 ,49.6%,12.8%,206,0.2%,"23,118"
2,3,Sage,0.93, 13.9  /  15  /  7.2 ,50.0%,12.1%,191,0.1%,"21,822"
3,4,Reyna,1.14, 18.2  /  16  /  4.3 ,49.9%,11.2%,250,0.1%,"20,239"
4,5,Sova,0.99, 14.7  /  14.9  /  5.4 ,49.1%,11.0%,204,0.1%,"19,795"
5,6,Killjoy,1.01, 14.6  /  14.4  /  3.6 ,49.7%,6.3%,202,0.2%,"11,420"
6,7,Raze,1.03, 16.7  /  16.2  /  4.6 ,49.1%,6.1%,238,0.1%,"11,063"
7,8,KAY/O,0.93, 14.6  /  15.7  /  9 ,46.7%,4.0%,207,0.1%,"7,199"
8,9,Omen,0.98, 15.3  /  15.6  /  6 ,47.3%,3.6%,210,0.1%,"6,567"
9,10,Chamber,1.07, 16.2  /  15.1  /  2.9 ,47.1%,3.1%,218,0.1%,"5,504"
10,11,Skye,0.93, 14.4  /  15.5  /  7.4 ,46.9%,2.7%,198,0.1%,"4,844"
11,12,Fade,0.94, 14.5  /  15.4  /  6.2 ,48.2%,2.6%,201,0.1%,"4,644"
12,13,Phoenix,1.1, 17.1  /  15.5  /  4.3 ,51.5%,1.9%,239,0.1%,"3,351"
13,14,Harbor,0.93, 14.1  /  15.2  /  5.9 ,45.8%,1.8%,194,0.1%,"3,219"
14,15,Brimstone,0.95, 14.5  /  15.2  /  7.2 ,48.5%,1.7%,203,0.1%,"3,044"
15,16,Neon,0.97, 16.4  /  16.9  /  4.2 ,44.0%,1.3%,230,0.1%,"2,316"
16,17,Cypher,0.97, 14.6  /  15  /  4.4 ,45.2%,1.2%,198,0.1%,"2,192"
17,18,Yoru,1, 15.9  /  15.8  /  4.2 ,44.7%,1.0%,219,0.1%,"1,836"
18,19,Breach,0.92, 14.5  /  15.7  /  6.4 ,47.6%,0.8%,199,0.1%,"1,524"
19,20,Astra,1.05, 15.5  /  14.9  /  5.3 ,49.5%,0.5%,209,0.1%,876
