,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Reyna,1.2, 18.2  /  15.2  /  4.4 ,51.0%,12.0%,255,0.1%,"1,166,849",Duelist
1,2,Sage,0.92, 13.5  /  14.7  /  6.6 ,50.5%,10.1%,190,0.1%,"983,558",Sentinel
2,3,Raze,1.08, 16.8  /  15.5  /  4.8 ,50.5%,9.3%,245,0.1%,"910,556",Duelist
3,4,Jett,1.12, 17.4  /  15.5  /  3.7 ,49.7%,7.9%,243,0.1%,"767,087",Duelist
4,5,Brimstone,0.99, 14.5  /  14.6  /  7.3 ,51.0%,7.4%,208,0.1%,"724,827",Controller
5,6,Omen,0.99, 14.9  /  15  /  6 ,48.6%,7.0%,209,0.1%,"683,368",Controller
6,7,Skye,0.94, 14  /  14.8  /  7.2 ,49.6%,6.1%,198,0.1%,"597,920",Initiator
7,8,Killjoy,0.98, 13.9  /  14.1  /  3.9 ,50.3%,6.1%,198,0.1%,"591,950",Sentinel
8,9,Cypher,0.99, 14.2  /  14.3  /  4.8 ,49.2%,4.1%,196,0.1%,"401,284",Sentinel
9,10,Gekko,0.94, 14  /  14.9  /  4.6 ,49.8%,3.9%,195,0.1%,"377,739",Initiator
10,11,Phoenix,1.13, 17  /  15.1  /  4.4 ,50.5%,3.5%,241,0.1%,"345,402",Duelist
11,12,Sova,0.99, 14.4  /  14.6  /  5.3 ,49.7%,3.3%,205,0.1%,"325,064",Initiator
12,13,Chamber,1.09, 15.8  /  14.5  /  3.1 ,48.7%,3.2%,217,0.1%,"315,961",Sentinel
13,14,Viper,0.99, 14.5  /  14.6  /  5.2 ,49.5%,3.1%,205,0.1%,"306,052",Controller
14,15,Fade,0.94, 14.1  /  14.9  /  6 ,49.4%,3.1%,199,0.1%,"297,829",Initiator
15,16,KAY/O,0.9, 13.9  /  15.3  /  7.9 ,45.7%,2.3%,201,0.1%,"223,428",Initiator
16,17,Breach,0.94, 14.4  /  15.4  /  5.7 ,48.0%,1.9%,204,0.1%,"187,834",Initiator
17,18,Yoru,1.02, 15.6  /  15.4  /  4.3 ,46.8%,1.9%,220,0.1%,"186,139",Duelist
18,19,Neon,1.01, 16  /  15.9  /  4 ,47.3%,1.8%,227,0.1%,"173,237",Duelist
19,20,Astra,1.03, 14.9  /  14.5  /  5.6 ,48.9%,1.1%,207,0.1%,"105,955",Controller
20,21,Harbor,0.91, 13.7  /  15.1  /  5.4 ,46.5%,0.9%,193,0.1%,"84,073",Controller
