,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.08, 17.3  /  16.1  /  3.6 ,48.7%,16.8%,235,0.1%,"2,962"
1,2,Astra,1.05, 15.1  /  14.5  /  7.5 ,52.1%,10.8%,204,0.2%,"1,902"
2,3,Fade,0.99, 15  /  15.2  /  6.7 ,48.3%,9.3%,203,0.1%,"1,642"
3,4,Gekko,0.99, 15.1  /  15.3  /  5.6 ,50.6%,9.2%,201,0.2%,"1,618"
4,5,Killjoy,1.07, 15.6  /  14.6  /  3.5 ,48.4%,8.9%,214,0.2%,"1,565"
5,6,Reyna,1.14, 18.2  /  16  /  4.2 ,51.4%,7.5%,247,0.1%,"1,323"
6,7,Cypher,1.03, 15.3  /  14.8  /  4.5 ,49.8%,6.6%,206,0.1%,"1,167"
7,8,Phoenix,1.11, 17.5  /  15.7  /  5.2 ,55.6%,5.1%,244,0.1%,907
8,9,Viper,1.07, 15.9  /  14.8  /  6.3 ,49.8%,4.7%,217,0.2%,838
9,10,Harbor,0.96, 14.5  /  15.1  /  6.9 ,48.1%,3.2%,196,0.2%,570
10,11,Raze,1.12, 17.8  /  16  /  5.1 ,57.7%,2.9%,253,0.1%,503
11,12,KAY/O,0.93, 14.9  /  16.1  /  9.9 ,45.3%,2.7%,206,0.1%,475
12,13,Sage,0.99, 15.2  /  15.2  /  7.1 ,52.1%,2.6%,206,0.1%,463
13,14,Skye,0.95, 15.1  /  15.9  /  8.3 ,56.0%,2.5%,200,0.1%,434
14,15,Sova,1.04, 15.4  /  14.9  /  5.7 ,48.4%,1.8%,211,0.1%,312
15,16,Chamber,1.17, 17.5  /  14.9  /  2.9 ,53.6%,1.5%,231,0.1%,261
16,17,Yoru,1.06, 16.8  /  15.8  /  4.7 ,46.6%,1.2%,235,0.1%,208
17,18,Brimstone,0.97, 14.2  /  14.6  /  10.1 ,56.8%,1.1%,205,0.2%,190
18,19,Neon,1.04, 17.3  /  16.6  /  4.4 ,54.0%,0.9%,238,0.1%,163
19,20,Omen,1.06, 16.4  /  15.4  /  7.2 ,50.5%,0.5%,213,0.1%,91
20,21,Breach,0.93, 13.9  /  14.9  /  8.4 ,49.0%,0.3%,195,0.1%,49
